SMILES,des_cv,pred_cv
CCCC#CC(C)=NC,41.8421,39.241015999999995
N=Cc1ncccc1O,23.0752,27.904909999999997
CC1=CC(=N)C=N1,28.9943,23.559107
CC1C2=CC1C(=O)C2O,35.8115,30.84768
N=C1OC=C1CC=O,25.0908,26.433846000000003
CCCC(C)(C=N)CO,41.3225,41.086952000000004
CC12CON(C1)C2C#N,25.9181,29.927290000000003
Cc1ncc(ON)cn1,26.9244,30.260640999999996
C=CC(C)C#CCCC,41.2141,39.565536
CC(=CNN)C(C)(C)N,37.6224,41.506668
O=C1C=CCNC2CC12,26.2263,29.532653999999997
N=Cc1cc(C=O)co1,24.5647,27.441196
O=CC1N=NC=CO1,21.7852,23.370373
C#CCN(C=O)NC,34.9858,31.48987
N#CC1CCCN=NC1,23.0494,30.134132
CC1=NON(O)C=N1,23.8638,25.534777
O=CC12CC3NC1C32,25.8368,24.57999
CCNOCC(=N)C=O,34.6288,34.562656
C#CCNC(C=O)=NO,28.4058,34.241833
CC1=NN=CN=NN1,22.686999999999998,23.908606
CC1=NC=C(O)C=CO1,26.8079,29.428274
CC1CNC(=N)C2CC12,23.8325,32.80665
Cc1n[nH]nc(N)c1=O,26.115,30.268784000000004
N#CC1C(=O)C1C=O,30.2534,25.734388
CCC1(C)C2C(CO)C21,41.72,39.027824
C#CCNCC(C)C=O,36.6329,37.44873
O=CC1=C2NN2CC1,21.8134,24.847607
N=CC1CC2CNC2C1,26.4733,30.811905
CC(O)C(C=O)ON,32.8066,32.813637
C#CC1CC1CC=N,25.4929,25.952229
C=CCC(C)(O)CC,37.2922,37.525383000000005
N=CCNc1cnco1,24.4093,26.962028999999998
CCN(C)CC1CC1=O,36.0724,36.738341999999996
O=CC1CCCCN1,23.7274,29.570545000000003
C#CC(C)CN1CO1,31.5872,30.863878000000003
C#CCC1(N)CO1,23.6323,27.669052
CC(O)C(=N)CC1CO1,36.6471,35.948856
CCC1CCCCCN1,31.3505,37.422928000000006
N#CC1CNCN1,24.0702,21.802925
CCCCCC(=N)C#N,34.8472,37.338776
C#CC#CC(=N)C#N,40.1421,26.728565000000003
CCCC=CC1C=C1N,41.9321,37.374096
N=c1cc(F)c(O)no1,21.4436,27.815508
CC12C=NCN1C1CC12,33.8052,29.764221000000003
NC1=NC(=O)C(=O)O1,31.518,24.491238
CC1N=NC2OC2CN1,23.7274,29.493187
CCCC#CC1CC1=O,35.2538,34.241820000000004
OC1CNC12CCC2,24.2463,29.826742
CC(C)(C)C1(C)CN1,41.6908,38.09561
C=C(C=O)CONCC,39.7823,35.824295
N#CC12CC(N1)N2,29.2094,21.716251
N#CC1CCC2NC2N1,25.2222,29.888065
NC1C=NC2=CCC2=C1,22.2311,28.920368
CCOCC1OC=C1N,36.0724,35.342135999999996
CC#CNCCC1NO1,31.0939,35.002438
C#CC#CCOC#C,36.345,29.536568
CC1N=NC=NN=C1O,23.1735,28.289661
O=C1NCN2NC2N1,21.4436,22.612331
N#CC1CC2OC(O)C12,25.8204,28.727591999999998
N=CC1CC2CNCC12,21.088,30.7446
NCCC1=C2NCC2=N1,21.8611,31.602552000000003
CC(C#CC#N)=CO,35.8989,30.05215
CC#CC1OCC1N,37.7035,31.339847999999996
C#CCC(CO)NN,30.8043,32.405064
C#CCNCC(=N)C=O,35.1673,34.407627000000005
N=CC1=CC(C=O)=C1,26.566,25.64423
N=C1NCC2OC2N1,23.1064,25.613667
OCCC1CCC2=CN21,28.3051,32.501877
CC(=O)C=CNC(C)C,36.8431,40.431335
CC(C#CO)=CC=N,37.8072,32.627373
CC1c2cccn21,23.1229,23.663187
CCC(C)(CN)C1CO1,40.8518,39.99362
C=C(C)OCC1NC1=O,40.1578,32.024506
CC1C2CC2CC2CN21,36.2481,32.751373
C=CC(NC)OCC,40.109,34.677616
CCC1=C2C=NCC21,27.7935,28.521513
CC1C=CC(C=N)C1O,41.8232,34.232456
N#CCNn1cncn1,21.068,26.833527
N#CC1CC1=N,21.5437,21.046856
C=C(C)C(C)C(C)=O,35.8115,35.429253
CCCC1=CC(C#N)=C1,23.8144,32.08619
CC1=NC2(CO)NC12O,29.6407,33.593253999999995
CC1=CC=NC(N)=CO1,31.0939,30.666999999999998
N=C1CC(N)CO1,23.965,24.604015
CC1=CC(=N)CC1O,30.7511,29.6566
N=CC1=CC=CC1C=O,24.9826,29.609917
C#CC(=C)COC(C)=O,38.8618,34.326523
NC1CCC=CNC1,26.516,30.560847999999996
CC(C=O)CC#CN,28.2991,32.401276
CCN=C=CC1CC1O,30.4546,35.794296
O=CC1NC2OC12O,22.9941,25.62817
CCCCC1(O)N=C1N,26.5285,37.571495
CCOC1NNC1C,23.2193,30.939953000000003
CCC(=O)CC(N)CC,37.3113,41.196384
C#CC1=CC(=O)C=N1,23.2193,25.052177
CC1=Cc2nnnnc21,22.4041,25.824839
N=CCc1ccco1,24.8625,25.760172
CC1=C(C)C(=O)N=N1,34.073,28.088625
CCC1CC(N)C(C)N1,39.7195,40.305534
CCC=NCC(=O)O,27.7303,31.948786
CC(=N)N(C)C(C)O,39.3112,34.798306
CC(C)CC(C)C=N,41.6908,37.212604999999996
O=CC1C=CN=CO1,21.2488,22.398594
O=C1CC2NCNC2O1,22.7602,27.207009999999997
