SMILES,des_cv,pred_cv,Err_pred_des
CC1CCN(C)C1(C)C,32.5124,40.445267,0.24399511336083504
CC(C)CCOOC#N,40.6989,36.286514000000004,0.10841535564286599
CN=C(C)C#CNC,40.6989,33.323433,0.1812203051590269
C#CCC1(C)CC1=O,34.7064,31.0451,0.10549353265038006
CCC1CC(N)C(C)N1,39.7195,40.305534,0.01475432376522797
CC(=N)CCCC=O,40.1262,33.001358,0.1775608447292152
CC1=C2CN2C2OC2O1,27.7091,28.470089,0.027463503280158324
C1=C2CC3CCC1N23,27.7091,23.165287,0.16398269818138206
N=CCNCC1CCN1,25.4833,33.24181,0.3044546760023507
CC1CNCC(O)O1,25.4833,30.555515000000003,0.19904075568339424
CC#CCC(NC)NN,25.4833,38.260536,0.5013964515524935
C#CC(CCC)CN=C,31.5872,38.678032,0.2244843456015956
C#CC(C)CN1CO1,31.5872,30.863878000000003,0.022899204420712468
N#CC1=NC(=O)C=N1,28.2448,21.804388,0.22802115623886
CCC1=NN=C1CC=O,28.2448,31.420052000000002,0.11241897888131726
C#CCN(C#C)CC#N,28.2448,38.326637,0.35694489846153643
CC(=CNN)C(C)(C)N,37.6224,41.506668,0.10324349565206667
O=CC1NCCN2OC12,21.9779,28.50667,0.2970606836034809
O=CCC1=COC1=O,26.9244,25.040073,0.0699858346044706
OC1C2CC=NCC1C2,26.9244,30.575565,0.13560804839234178
Cc1ncc(ON)cn1,26.9244,30.260640999999996,0.12391143713592365
C#CC1=CC(CO)C1=O,31.4705,31.233978000000004,0.007515664781799661
CC1NNC(=N)C1C,31.4705,30.669388,0.0254559725017775
C#CC1CCC(CO)N1,29.1259,35.004259999999995,0.20182590123723906
C=C(C)C(C)C(C)C,39.4617,38.761185,0.01775177723253656
Cc1nnncnc1=N,32.9446,27.187527000000003,0.17475013498780198
CC1N=CC=NN=CO1,27.3973,28.558119,0.042369825500703666
C1=COCC2CC=C2N1,25.379,29.149399,0.1485637260613474
CCN(C=O)NC1CN1,40.1421,35.051228,0.12682127816979982
C#CC#CC(=N)C#N,40.1421,26.728565000000003,0.3341512971153863
CCC(N)C(=O)C=N,41.5994,33.0021,0.20666880055497536
CC1CCNCC1C,28.3051,33.601242,0.18710910985757648
OCCC1CCC2=CN21,28.3051,32.501877,0.14826928119154106
C#CC#CC(C#C)NN,35.9176,34.530968,0.03860592822453773
C#CCNCC(C)C=O,35.9176,37.44871,0.04262844386216428
C=C1CC2C(C)=NC2O1,35.9176,30.168754999999997,0.16005650217061498
N=CC1=CC=CC1C=O,24.9826,29.609917,0.1852215817013328
N=CN=CC1CC1=N,24.9826,26.917809000000002,0.07746225503810021
Cc1ncnocco1,24.9826,27.089314,0.0843272320367006
CCC(N)C(C=O)CO,40.8423,39.448654,0.03412260879517838
CC(=N)C(C)CO,40.8423,31.081570000000003,0.2389858144220365
CC1=C=CCNCC1C,31.6976,36.088425,0.1385223071342053
C#CCNC(=N)NC,31.6976,33.340725,0.05183751908877511
CC1=NC=C(O)C=CO1,26.8079,29.428274,0.0977463417374388
CC(C)C(=N)CN1CC1,29.9408,37.5776,0.255063277259704
CCC=NCC1=CCC1,33.2378,34.71638,0.044484925987822506
CNC(=N)C(C)O,39.4312,26.874413,0.3184480173917837
CCC1CCCCCN1,31.3505,37.422928000000006,0.19369476902905253
COC1OC1(C#N)CN,31.3505,34.009857000000004,0.08482662725425033
CCC1=CCN(C)C1O,31.3505,36.182827,0.15413875363549573
OCCC1CC2CCN12,23.838,33.18383,0.3920559720291328
CC1OCCC(N)CO1,34.3005,35.52581,0.035722809921115414
C=C(C)N(C)CC#CO,41.8421,38.753440000000005,0.07381702025152677
