SMILES,des_cv,pred_cv,Err_pred_des
C=NCN(C=CC)CN,22.373,21.91069984,0.020663306
C=C1OCN1CCC,22.373,22.85662079,0.021616269
C=C1C2NC1N2CC#N,23.168,23.54700661,0.016359056
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656
C=CCN1COCN1CCC1CC1,24,23.49917793,0.020867586
C=CCN1COCN1CCC1CC1,24,23.49917793,0.020867586
NCN1CCC=NC1,24,24.1968174,0.008200725
C#CCN(N)C#C,26.867,26.59956169,0.009954156
CC(O)CN1CC=NC1,26.867,27.5289917,0.024639584
CN1CN2CC1N2,30.659,31.03754044,0.012346797
C=CCC=NCNC,30.659,30.95485306,0.009649795
CC=C1CNC=CN1C,30.659,30.46085739,0.006462788
CN=C1CCN1CNC,31.128,30.77195549,0.011438079
CC=NN(CC)CNC,31.128,30.94478989,0.005885701
C=CN(CNC)CNC,31.836,32.26524353,0.01348296
CCNC1NC(CC)N1C,32.207,32.271698,0.002008818
CCC1(NC)NC1CCCO,32.207,31.90715408,0.009309961
CCC1(N)NCC1C#N,33.945,33.4246521,0.015329147
C=CCC1CN1NCCC,34,33.37001419,0.018528994
CC=CNCC1NC1C,34,34.11938858,0.003511429
CC#CC(C)CCC,35.027,35.40017319,0.010653872
CN=CC=O,35.027,34.30988693,0.020473151
CCCCCCCNC,35.911,35.36336899,0.015249673
CC=CN(C)CN=NN,35.911,35.49384308,0.011616411
CC1NCNNC1(C)N,38.329,42.08986664,0.098120656
NNC1CNN1N,38.697,42.05634689,0.086811559
CC(N)(N)C=NNC=N,38.697,42.05846405,0.08686627
NCNNN(C=O)NN,38.863,42.25449753,0.087268032
NCNN=NC=CC(N)CN,38.863,42.35095978,0.089750142
CCCN(CC)NNC,38.863,42.42502594,0.091655969
CNNC(N)=CN=CN,39.23,42.22398376,0.07631873
NC1C=NNNC(N)CC1,39.23,42.5304718,0.084131323
CNNNC(C)C(C)C,39.23,42.64666748,0.087093232
N=CCCC(N)(N)NN,39.245,42.04164124,0.071261084
CC1CNC(C=N)C1,39.245,42.0896225,0.072483692
CCN(C=N)C(N)C#N,39.895,42.28022766,0.059787634
CC1=C=NCC1N,39.895,42.4203949,0.063301038
CC1CCC=C=NCC1,39.895,42.63430786,0.068662937
NNNC(N)=NN1CN1,39.895,42.78577423,0.072459562
NNN=CNNC(N)N,39.895,43.69844055,0.095336272
CC(C)(N)C1=CC=CC1,39.895,43.80857086,0.098096776
NNCCC1C=NNN1,40.439,42.94630814,0.062002229
CCC(C)CNN,40.644,41.97686386,0.032793619
N=NCC(N)CN=NN,40.644,42.34939194,0.041959254
CC(N)C=NNCC#N,40.968,40.35871887,0.014872123
CN(N)C(CN)CCCC#N,40.968,40.59005737,0.009225313
CCCN(C)NCNC,40.968,40.07187653,0.021873742
CCCCC(=N)C(C)N,40.968,40.44102097,0.012863187
CNC=NN=NCNCC#N,40.968,41.18827057,0.005376649
CC(C)NN(C)N(C)C,40.968,40.0273056,0.022961687
CCCN(C)N=CC#N,40.968,40.45523071,0.012516337
N#CCNCN1CNC1,40.968,41.27100754,0.0073962
CCCCNCN(C)N,40.968,39.96947098,0.02437339
CNCN1CC(C)CC1(C)C,40.968,41.59072876,0.01520037
CCCNN(C)CN=N,40.968,41.96467972,0.024328249
CC(N)CN(C)C#N,41.063,41.01679611,0.001125195
CN(C=O)CCCN=N,41.063,41.179039,0.002825877
CC#CN=O,41.063,41.07345581,0.000254629
CC=NNC(CN)CC#N,41.063,40.20173264,0.020974292
CNNN(C)NCC#N,41.063,41.90809631,0.020580482
CCCCNC(CN)=NC,41.063,41.46303177,0.009741903
NN1CCCC1,41.063,40.72466278,0.008239467
CN=CNC(=N)N,41.063,40.1265564,0.022805046
CCCCN(CC=O)N(C)C,41.063,40.4754715,0.014307978
