SMILES,des_cv,pred_cv,Err_pred_des,DFT_cv,RE_des,RE_pred
C=NCN(C=CC)CN,22.373,21.91069984,0.020663306,38.42,41.76730869338886,42.97058865174389
C=C1OCN1CCC,22.373,22.85662079,0.021616269,31.551,29.089410795220427,27.556588412411642
C=C1C2NC1N2CC#N,23.168,23.54700661,0.016359056,29.478,21.40579415157067,20.120067134812405
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656,36.337,34.65338360348956,35.390274953903734
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656,36.337,34.65338360348956,35.390274953903734
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656,36.337,34.65338360348956,35.390274953903734
CC1CN(C)C1=C1CC1,23.745,23.47723579,0.011276656,36.337,34.65338360348956,35.390274953903734
C=CCN1COCN1CCC1CC1,24.0,23.49917793,0.020867586,50.735,52.69537794421997,53.68251122499261
C=CCN1COCN1CCC1CC1,24.0,23.49917793,0.020867586,50.735,52.69537794421997,53.68251122499261
C=CCN1COCN1CCC1CC1,24.0,23.49917793,0.020867586,50.735,52.69537794421997,53.68251122499261
C=CCN1COCN1CCC1CC1,24.0,23.49917793,0.020867586,50.735,52.69537794421997,53.68251122499261
NCN1CCC=NC1,24.0,24.1968174,0.008200725,29.498,18.638551766221443,17.971328903654488
C#CCN(N)C#C,26.867,26.59956169,0.009954156,28.661,6.259376853564078,7.192485642510728
CC(O)CN1CC=NC1,26.867,27.5289917,0.024639584,34.122,21.261942441826385,19.321869468378175
CN1CN2CC1N2,30.659,31.03754044,0.012346797,23.074,32.872497182976495,34.51304689260639
C=CCC=NCNC,30.659,30.95485306,0.009649795,33.817,9.338498388384545,8.463633497944818
CC=C1CNC=CN1C,30.659,30.46085739,0.006462788,35.46,13.539199097574736,14.097976903553299
CN=C1CCN1CNC,31.128,30.77195549,0.011438079,36.387,14.452963970648858,15.431457690933575
CC=NN(CC)CNC,31.128,30.94478989,0.005885701,40.687,23.49399070956325,23.944282227738586
C=CN(CNC)CNC,31.836,32.26524353,0.01348296,39.857,20.12444489048348,19.04748593722558
CCNC1NC(CC)N1C,32.207,32.271698,0.002008818,43.966,26.7456671064004,26.59851248692171
CCC1(NC)NC1CCCO,32.207,31.90715408,0.009309961,49.405,34.81024187835239,35.41715599635664
CCC1(N)NCC1C#N,33.945,33.4246521,0.015329147,35.846,5.303241644813916,6.754862188249717
C=CCC1CN1NCCC,34.0,33.37001419,0.018528994,42.96,20.85661080074488,22.323058216946
CC=CNCC1NC1C,34.0,34.11938858,0.003511429,38.503,11.695192582396178,11.385116536373792
CC#CC(C)CCC,35.027,35.40017319,0.010653872,37.379,6.292303164878667,5.29395331603307
CN=CC=O,35.027,34.30988693,0.020473151,16.33,114.49479485609311,110.10341047152481
CCCCCCCNC,35.911,35.36336899,0.015249673,43.176,16.826477672781177,18.094846697239213
CC=CN(C)CN=NN,35.911,35.49384308,0.011616411,30.151,19.103843985274125,17.72028483300719
CC1NCNNC1(C)N,38.329,42.08986664,0.098120656,37.691,1.6927117879599853,11.670867421930948
NNC1CNN1N,38.697,42.05634689,0.086811559,27.222,42.15340533392109,54.49396403644111
CC(N)(N)C=NNC=N,38.697,42.05846405,0.08686627,39.036,0.8684291423301533,7.742760656829583
NCNNN(C=O)NN,38.863,42.25449753,0.087268032,36.817,5.557215416791155,14.768985876089854
NCNN=NC=CC(N)CN,38.863,42.35095978,0.089750142,47.215,17.68929365667691,10.301896049984128
CCCN(CC)NNC,38.863,42.42502594,0.091655969,42.425,8.395992928697698,6.114319387258966e-05
CNNC(N)=CN=CN,39.23,42.22398376,0.07631873,38.379,2.217358451236351,10.018457385549404
NC1C=NNNC(N)CC1,39.23,42.5304718,0.084131323,38.841,1.0015190134136498,9.498910429700572
CNNNC(C)C(C)C,39.23,42.64666748,0.087093232,43.089,8.95588201165031,1.0265555478196309
