smiles,Desired_hc,Desired_qed,Predicted_hc,Predicted_qed,Error,qed_rdkit
CCC(C)C(C)C(C)O,41.908,0.637,38.97799849510193,0.627238392829895,0.06991508792827318,0.6195947806616594
CC(CC(C)(C))C,41.908,0.637,38.734257221221924,0.6140605211257935,0.07573119162876008,0.5001817914751358
CCC(CC(C))(C)O,41.908,0.637,39.15644943714142,0.6113002300262451,0.06565692857828058,0.5971696682305409
C#CC(C)(C)C(C)CO,41.908,0.637,38.71953725814819,0.6177806258201599,0.07608243633320148,0.5523984434819732
CCC(C)(C)CC(C)C,41.908,0.637,38.9807003736496,0.6193505525588989,0.06985061626301432,0.5456732277192704
CCC(C)(C)CCCCC,41.908,0.637,38.78129243850708,0.6256120204925537,0.07460884703381028,0.5088310301358154
CC(CCC(C)C)CCO,41.908,0.637,38.88387620449066,0.6223819255828857,0.0721610144962618,0.6280484527141117
CCOC(C)(C)COC,41.908,0.637,39.93142545223236,0.6504344940185547,0.047164611715367954,0.5760480170629367
CCN(CC(C)C)CC,41.908,0.637,39.11787927150726,0.6238047480583191,0.06657728186725059,0.560789449615798
CC(C)C1CCC1CCO,41.908,0.637,38.51949989795685,0.6232520341873169,0.08085568631390554,0.6391091321442848
CCN(C)OC(C)(C)C,41.908,0.637,38.86360764503479,0.6082867980003357,0.0726446586562282,0.5284495747835745
CCCCCCC(C)(C),41.908,0.637,39.519105553627014,0.6197600364685059,0.0570033035786243,0.4960481579147377
CCCCCCCCC(C)OO,41.908,0.637,38.61221671104431,0.6275547742843628,0.07864329695895031,0.3458079143036914
CC(C)(CC)C(C)O,41.908,0.637,39.01223957538605,0.629209578037262,0.06909803437563124,0.5829747349344339
CCC(CC(C)C)CC,41.908,0.637,38.766191601753235,0.6127837896347046,0.07496918006697448,0.5435567265945545
CCC(C)OC(C)CC,41.908,0.637,38.778565526008606,0.6148775219917297,0.07467391605400867,0.5680678488051341
CCCCCCC(C)(C)O,41.908,0.637,39.944294691085815,0.6195003390312195,0.04685752860824152,0.5881310057342187
CCC(C)(C(C)(C))O,41.908,0.637,38.84801685810089,0.6027061343193054,0.07301668277892312,0.5829747349344339
CN(C(C)CC)C(C)C,41.908,0.637,38.526514768600464,0.6179380416870117,0.0806882989262083,0.563946752826635
