SMILES,cv
O=CCC1CCO1,24.586
C1=CC2CC2OC=NC1,29.461
c1cnccocnc1,27.857
CC1CC2(O)C(O)C12,31.874
CC1CC=CC(=NO)C1,33.965
O=C1C=CC(=O)C(O)C1,29.334
CCCOCCCO,36.226
CC1C2OC2C12CCC2,32.849
CCCC1CC(=O)C1,32.342
N#CCn1cnc(O)n1,26.968
O=C1OC2CCNC1C2,27.673
CC#CCC(C)=O,29.102
CCC(=O)OC(=N)C#N,32.156
CC(C)C(C=O)CC=O,37.944
CC(C)OC1CNC1=O,35.334
N=C1OC2CCCC12O,30.87
N=C1CC23CC2(CN3)O1,28.486
CC1CC2CC(C)(O)C12,36.902
C#CC(C)(C=O)C(C)C,40.064
CCC1(C)OCC1(C)O,40.025
CCC1C=CC(=NO)C1,34.473
O=C1CC(O)C1N1CC1,31.86
CC12CCC1C1NC12,28.6
C#Cc1cnoc(=O)c1,27.144
C1OC2C3C1C1CN3C12,24.705
CC(=O)C1(C)CN2CC21,34.399
Cc1ncoc1C1CO1,28.812
CN1CC12CC1CC12C,35.295
OCC#CC#CC1CC1,33.925
COC12CC1(C)NC2=O,33.394
O=CC(=O)OC1CCC1,30.907
C#Cc1ccc(CC)o1,32.283
CN1CC2NC(C1)C2=O,30.541
C#CC1(C(C)O)OC1C,37.87
CC(=O)CCC1(C)CC1,38.868
CN1CC23CCN2CC13,31.69
N=C1OC2CC12O,22.847
C1=CCCOCC=CC1,32.741
COC(C#N)C1(O)CC1,34.917
N#CC1C(O)C2C(O)C12,31.191
CC(C=O)c1cn[nH]c1,30.698
N#Cc1coc(N)c1,25.311
CC1C=CCC(=O)O1,27.532
O=CC12NCC1N1CC12,28.615
C1OC2COC2C2NC12,27.601
CC1(CC=O)CN2CC21,33.564
N#CC1(O)C2CC(O)C21,31.776
OCC1C2CCC1(O)C2,34.162
O=C1C2COCC1(O)C2,29.836
O=C1CC(O)COCO1,30.516
CCN1CC2(CC2)C1=O,33.692
Cc1nonc(C)c1=O,30.448
C1=C2C(CCC1)C1OC21,29.2
CC1=CC(=N)N(C=O)C1,31.076
CC12CC1C(=O)C2O,29.262
C1=CC23CC(O2)C3CC1,28.782
Cn1ncc2c1OCC2,28.403
OC1CC23COC2C1O3,28.731
N#CC(O)C1=NCCN1,30.487
C#CCCNC(=N)C=O,34.928
CCc1c[nH]c(N)c1O,36.282
CC1CC(COC=O)C1,34.667
NC(=O)c1cc(O)c[nH]1,31.231
C#CC(OC)C(=O)OC,35.339
CC1NCc2nonc21,27.792
CC1OC2CC2C2CC12,32.072
C#CCC1(C)CC1C,35.082
CCC12CC(=N)OC1C2,32.839
N#CC(=O)C1C=CCN1,29.276
CC1(C(=O)NC=N)CO1,32.889
C#CC(C)C1OC1(C)C,39.16
C#CCC#CC#CC,31.228
O=CNCc1ccco1,29.145
CC12CC3C(C#N)C1N32,29.24
N#CCNC1C2CC1C2,30.793
CCC(C)(C=O)CC#N,37.349
COCC1C2C=CCC21,32.829
C1CC2OC(C1)C21CO1,29.353
CN=C1C(O)C2CN12,28.676
c1nc(C2CO2)c[nH]1,24.154
CC12C3CCC1(O)CN32,32.732
OC1C2OC3CC(O2)C31,26.541
CCC12C3C4CC1N2C43,30.122
CC1C2CC=CC1(C)C2,34.819
O=CC(O)C1CC2NC21,31.49
O=C([O-])CC1C=CC[NH2+]1,30.103
CC1(O)C2OC3C2C31O,32.229
Cc1nc(=O)c(O)co1,29.256
O=CC12CC(O)CC1C2,32.075
CC12CC3(O)C(=O)C1C32,31.452
OCC1OC2C(CO)C12,33.425
N#CC12CCC1N2C=N,29.71
CC1(C=O)C2C3OC2C31,29.826
Cc1cncc(N)c1F,30.879
OC1C2C3CCCN2C13,30.224
CCC1(N(C)C=O)CC1,37.377
CC(C)C1(C)OC2CC21,37.587
CC1CC(C)(O)C2CN12,36.151
CNc1ncc(=O)[nH]n1,29.432
CC(=O)CCC(F)(F)F,33.063
C1=CC(C2CCC2)OC1,31.646
CN1C2C3C4C3C2(C)C41,30.912
O=CC12C=CC(C1)C2=O,28.132
CC(=O)C1(C=O)NC1C,34.551
O=CCC(O)C1CN1,30.404
C#CC1CCOC=NC1,31.601
C#Cc1n[nH]c(CO)n1,29.786
CC1CC(=O)OCC1O,33.216
CC12CC3C4C(C1)N4C32,29.01
N=CN(C=O)C(=O)CO,31.862
Nc1c[nH]c2oncc12,27.821
CCC1(C(=O)NC)CC1,37.933
N=C1CC2(O1)C1CC2O1,27.695
CC12NC1C(N)C2C#N,33.017
N=c1cnoncc1=O,26.426
CCC1=CNC(=O)OC1,31.839
C1C2C3CC4(CO4)C1C23,28.432
CC1CC2CC1NC2=O,30.758
CC1CCCC(C)(C)C1,40.202
OC1CC=C2CCC2C1,32.596
N#CCC(CO)NC=O,33.949
C#CCc1[nH]nnc1N,30.911
C#CC1CCCCC1C,36.499
CC12C(=O)C3C4C1N4C32,27.172
C1CC23COCC12N3,25.372
C#CC(=NC)NC(C)=O,35.988
C#CC1(C=O)OC1CC,34.599
CCC1=C(C)COC1,32.045
CC1CC2(C)CCC1C2,35.631
N=C1OCC(O)C1CO,32.115
CC1C(O)C2C(O)C12O,35.581
CC(CO)C1C(C)C1O,40.149
C1=NC2(C3CO3)CC2O1,27.41
O=CN1CC1C1COC1,30.228
O=C(OCCO)C1CN1,32.828
CCNC(C)C(=O)OC,38.873
CCCCn1ccnc1,33.386
