SMILES,des_cv,pred_cv,Err_pred_des
CCC1=CC1(O)CC=O,42.3393,35.968765,0.15046386551527632
CCCC1CNCCO1,44.7948,36.630695,0.18225563362226024
O=C1CCC2CC2CN1,42.7664,31.607899,0.26091747932586784
CCC1OC1C(O)C#N,45.0925,34.753517,0.22928386869481832
C=C(C)C1NC1CC,42.9804,34.879364,0.18848209849903974
C#CC(CCC)NC=O,45.5551,37.425415,0.1784582837253678
CCC1CCC2CCC12,43.8124,35.62552,0.18686219429138493
O=CC1=CCC(O)C1O,44.0432,32.38246,0.26475683992417526
C1CC12CC21CC1,43.7076,26.829334,0.38616317850824106
C#CC1CCCC(C)C1,46.3629,36.803467,0.20618712813747636
CCC1CC2CCCC12,43.9029,35.122208,0.20000255924775903
CC(C)(C#N)C(=O)NO,46.8492,37.0455,0.2092607406533223
C#CC#CCC#CCC,43.8092,36.518723,0.16641430260813506
CC1[N-]C=C2CNN21,42.1551,26.862137,0.36277848135052904
COCC(C)C1CCC1,42.6089,38.659363,0.09269277561803399
CCCC#CC#CC=O,44.7165,34.969955,0.21796304620585388
CCCC1(C)CC1CO,42.835,41.114716,0.04016071959444673
C#CC1CCCCC1C,43.4431,36.930626,0.14990813465136368
COCC(C)C1CCO1,46.2965,37.204445,0.19638752637339962
CNCC#CCOC=O,42.4836,31.809387,0.2512549029029732
CCC1=CC2C(C)C12,45.511,32.219185,0.29205719769971483
CC1(OCCCO)CC1,43.4179,39.809418,0.08311047460587978
CC(=O)CC(N)CCO,45.4382,40.02881,0.11904942110933095
CCCC(N)C(O)C=O,46.6914,38.683254,0.17151222190931611
CCCC1C2CC12CC,42.1391,38.61094,0.0837265383959575
C#CC1CCCC(O)C1,45.9828,35.60173,0.22575984179563469
CC1C(C)C1(C)C=CN,42.1458,40.184677,0.04653186974684461
CCC1CC1C1CC1=O,42.5632,35.2506,0.1718057169698072
CCC1=NN2N=CNC12,43.2599,28.422607,0.34298027915286444
O=Cc1cccc(O)c1,42.8294,28.375286,0.33748112039171874
C#CC1NCC1CCC,42.0309,37.454018,0.10889327520561887
C#CC1OCC1CO,45.4187,30.167793,0.3357847478257682
CCCC(C)CNC=O,45.0554,39.867676,0.1151410090410916
CCCC(O)C1=CC1,44.7868,33.594948,0.2498917579523117
CCCC(C=O)CCC,44.275,41.466835,0.06342552180750632
CCCC(C)=NCC=N,44.275,39.080643,0.11732032297695508
CCCn1cccc1O,43.2473,35.036095,0.18986631152633016
C#CC1(C)CC(=C)O1,46.9464,30.94394,0.3408666221694448
CCc1ncnc(C)n1,43.4866,31.706516,0.2708899691889194
C=C1C=CC(C#N)CC1,46.3939,30.923502,0.33345758885578086
COCC1(OC)CC1C,42.224,39.210754,0.07136333851526967
CCC1CCCOCC1,46.1748,37.13846,0.19569855739595782
COCC#CCC=C=O,43.6779,34.89297,0.20112983822898173
CC(C)CC(O)C(N)=O,44.9275,40.20318,0.10515433964138407
CCC(O)CCNC=O,42.35,39.26013,0.0729602872269776
CCC12CC(O)CC1C2,42.0978,37.512825,0.10891246069374096
CC(=O)C1=NC(C)C1,43.0011,32.0256,0.2552376466334673
CC(=O)CC(C)(C)C,44.3765,38.659424,0.12883116450993207
COC1CCC(C)C1,45.0421,33.776566,0.25011121702234546
C=NC1OCC1(O)CC,43.1142,36.286003,0.1583746628073124
CCCC1=CC(C)C1C,44.9526,39.51197,0.12103036264822203
COCC12CC1CC2C,44.4869,36.60704,0.17712763970352083
COC(=O)C=CCC#N,44.277,32.508793,0.2657860090521656
