SMILES,des_cv,pred_cv,Err_pred_des
CCCC1CNCCO1,32.9162,35.929157,0.0915341763958195
CCC1NC2CCCC12,29.0925,34.210667,0.1759273577896069
CC1CCONCCN1,27.5208,34.122448,0.2398784907244446
N=CC1=CC=CCOC1,26.5405,29.762245,0.1213897695304404
COC1NC1C1CC1O,30.9574,34.770885,0.1231849401929521
CCC(O)CC(N)C=N,37.0272,39.88508,0.077183217477308
O=C1C2=C3C(O)C13C2,23.2633,24.81687,0.0667820015095782
N=CC1=C2CCC2C1,25.0669,26.208612,0.045546614939087
COC1CCCNCC1,27.5253,36.021492,0.3086684615388217
CCCCC(C)CN,28.3768,39.398865,0.3884181706920354
CCC1=CC=CN=NO1,23.0081,29.888716,0.2990518879880806
O=CC1CCC2NC2C1,21.9273,30.905712,0.4094627303719814
CC(=O)CC(N)CCO,35.6742,39.496887,0.1071555131448287
CCCC(N)C(O)C=O,41.0469,38.77655,0.0553111125817357
CCC1(C)C=NC1,22.9228,27.899893,0.2171241212682062
NCC1=NC=CON=C1,22.5287,28.53624,0.2666616193576832
CCCC(CC)NCC,29.5208,42.037346,0.4239907416543748
O=C1NC23CN2CC13,29.8267,23.954681,0.1968712128232632
CCCC1(O)OCC1C,40.7273,39.788254,0.02305692289497
CCOCCC1=NCO1,28.1017,32.542427,0.1580234314289982
CN1CCC2CC1N2,25.2669,27.806042,0.1004928074884254
CCCC1=CC2CCC12,28.9854,34.206535,0.1801298356881557
CCC1=COCCC1O,28.9854,34.477673,0.1894841049943867
CC1=CN=NC=NN=N1,21.8497,25.848988,0.183036269575587
c1cc2c(nn1)CN=N2,24.1503,24.075504,0.0030970918382581
COCC1=CC2CC12,32.6015,29.141167,0.1061403098933571
CCCC1OC1CN,24.9376,34.228386,0.3725613501416723
C1=NC23CN2CNCC13,27.8389,27.85482,0.0005718707084275
COCC1CCC(O)O1,38.2016,35.958046,0.0587293212987765
CCNC#CC(=N)OC,40.6884,35.91666,0.1172751863224435
OCCC1=C=CCC1,27.4145,30.558971,0.1147010306600265
C#CC(C)C1NCCO1,33.7533,35.130405,0.0407991344853803
N#CC1=CCCCO1,25.9438,26.343235,0.0153961646277392
O=CC1=CC2C=CC12,27.1812,23.89605,0.1208611282978044
CCC12C=C1C(C)CO2,32.3291,34.335648,0.0620662988764863
C1=CC2CNCC2CN1,23.6966,30.280735,0.2778514645927745
CCC1OC1CN1CO1,32.5024,33.608925,0.0340444048969508
CC12COCC1C21CO1,31.8936,31.489925,0.0126569159793348
CC(=O)C(N)C(N)=O,35.6262,32.23577,0.0951667261959114
CC1OCNCC2CC21,21.8905,33.452538,0.5281760369393615
CC1C2CCONC12,23.8583,28.62148,0.1996446076112908
CCCC#CCCC=N,33.2899,32.190914,0.0330125907842098
CC1CN=CC=N1,24.1091,22.013056,0.0869399603721582
CC1=NN=CNC(=O)C1,30.702,28.958202,0.0567975258269641
CC1N=CN=NN=CO1,26.9545,27.982742,0.0381473338244194
Cn1cnn(C)c1=N,25.6654,28.312462,0.1031373698842543
CCC1NCC1NC=O,33.3937,34.858307,0.0438587782954755
CC12CCC1(C)C2N=O,29.2059,35.02481,0.1992375099214756
C#CCCCC1(O)CO1,35.6092,36.245605,0.0178719395198431
COCC(N)OC,24.4687,31.046799,0.2688372780758556
N=CC12CCCC1OC2,21.9097,31.157429,0.4220837684429762
CCCC1OC12CC2O,39.7868,36.928543,0.0718393263388783
CC1C#CC1OCC=N,34.9274,32.928936,0.0572176570646921
CC(C)OC(=O)OC=O,40.8674,33.51307,0.1799559269042799
CCC1OC(C)NC1O,33.7825,36.41534,0.0779350380695326
CC(=N)C(O)C=O,38.2654,26.809566,0.299378381049127
CCCC(C)C(O)OC,37.0142,41.56491,0.1229450018823011
N=C1C=COC=NN=C1,21.2211,26.829048,0.2642628401326171
CCC1=C2CCC2C1C,39.1448,35.34965,0.09695154051956
OCC1=C2CCCC12O,29.6553,33.443462,0.1277398094717022
CCNC1=CCC(O)C1,37.5951,36.346306,0.0332169392509139
CC1CC1NC#CC#N,33.2843,32.98739,0.0089204636768734
C=C(C)C(O)CC#N,34.9713,32.208702,0.0789961457708937
CC(C)(N)N,20.9917,24.494137,0.1668486501952072
C1=C2CCC3NCC1C23,28.8824,28.222229,0.0228572070220532
CCCCC(C)COO,34.4362,41.033546,0.1915817206240498
CC1=NC=NC=NN=N1,25.7715,26.932066,0.0450329225596149
C1CC2C1NC1CCC12,24.4215,31.09239,0.2731564424963578
CCC1NCC1C1CO1,30.6593,34.776672,0.1342944021318571
CCC1NCC(N)C1=O,40.2047,35.458607,0.1180482202336866
N=Cc1nnnnn1,23.6003,21.70693,0.0802265157424922
COC12CCCCC1O2,28.311,32.979614,0.1649046044933948
C#CC#CCC(O)C=N,34.8721,35.19172,0.0091654662373581
CN=C1OC1N,21.5845,23.592419,0.0930259524498736
C#CC1=C2CC1C2=C,33.9636,23.59583,0.3052611938263788
CCC1CCNC(O)O1,38.6672,35.584846,0.0797149393650941
Cc1cc1=NCC=O,34.7663,28.724709,0.173777233783034
C=CC1CCC(C=O)N1,30.8803,32.48828,0.0520714257957339
CCC1=CC1N1CC1,34.5027,30.938232,0.103309815699206
CC1C2CC12N,25.9521,23.902351,0.0789819945440049
CC1N=CC=CN=N1,27.3062,25.396206,0.069947268309043
N=c1cnnccn1,28.3145,22.409275,0.2085583338949428
C1=NC2CCOC2N=C1,21.3724,27.78504,0.3000430415738709
CCc1ccnnc1O,28.3183,31.049582,0.0964493464547645
C#CCCCCCCN,30.9702,39.856415,0.2869279111830688
C#CCNCCCOC,33.968,40.32129,0.1870374782883889
CCCC#CC1NC1=O,33.1078,33.81913,0.0214852676362566
CCCCN(O)CCC,38.6928,41.97121,0.084729212663243
CC1=C=CCCC1(C)C,32.8501,37.093487,0.1291742425712151
C#CC(O)C=CCC,34.9539,33.977837,0.0279243057602521
N#CN1C=NC(C=N)C1,25.3322,28.700182,0.1329526042372778
OCC1NCCC2CC21,25.3322,33.511795,0.3228931969566525
N=CC1=CC2CC3C1C23,24.377,27.822355,0.1413363117030702
CC1CNCC(OO)C1,31.355,34.798203,0.1098135070849445
CCC1(C)C=CCN1,35.693,32.99681,0.0755383152694943
CCC1(COO)CC1=O,40.048,35.24021,0.1200506520471333
CCNN(C)C1=CO1,31.0374,31.137722,0.003232294437706
C1CN2CC23CCC3N1,24.5697,29.516602,0.2013415533156692
CCC1=NC(C=O)=N1,29.9803,25.654415,0.1442909133459226
C#CCC=NCCN,36.5031,36.086292,0.0114184201658023
CCC1=C2C(=O)NC12,32.2614,27.43777,0.1495170437889906
N=c1cc2ccnc1-2,23.3737,22.881193,0.0210709831558228
N=CC1=CCCCC1=O,28.5951,30.782524,0.0764964664885494
CCCN(C)C1OCO1,39.2103,36.37605,0.0722833275504637
OCc1cnncc1O,28.2673,29.047146,0.027588267839725
CC1C2=CC1(C)C=CC2,26.1963,33.10408,0.2636929719157023
O=CN1C=CN=CN=N1,26.1963,26.142977,0.0020355255946734
OCC1=CN(F)N=CO1,27.3875,27.510489,0.0044906804247133
N=C1C=CCCN=CN1,24.4341,30.945452,0.2664862522642616
C=CNC(=O)CC(C)C,40.9823,38.017662,0.0723394722028816
CCC1=CC1NN=O,28.4698,27.897156,0.0201140941728164
CCC1=NCC1C(C)=O,37.9238,34.507755,0.0900765408650764
CC1N=NC(CN)=CO1,21.0948,32.36423,0.5342279191847821
CCN1C=NC=NN=C1,35.4785,29.636719,0.1646569401186633
CCCC(C)C(O)OO,41.6515,40.058453,0.0382470593807864
C1CC(CNC2CC2)C1,24.5917,34.05517,0.384823666190441
CC(C)OC1CN1,24.1623,28.690008,0.1873873001929514
CC1NCCC1CO,23.2268,32.405495,0.395176894360885
CC1CNNC1CNN,24.0235,32.71677,0.3618652641005325
CC#CC=CC(C)C#N,35.8836,35.4041,0.0133626918496977
CC1NCC1CCNN,24.0079,37.34587,0.5555659167057381
CCC(=N)CCC(N)O,36.0626,40.436638,0.121290142097851
C#CC(C)(C#C)NCC,37.9273,39.55197,0.0428364643817744
CCC(O)N(C)CC#N,37.6984,38.04499,0.009193773198618
C#CC1CCNCCO1,31.7705,33.575085,0.0568006385256542
CCC1=CC1(C)C1CO1,40.5807,35.97589,0.1134728796378266
NC12CCCC=CC1N2,32.1385,34.18943,0.0638153690065312
O=CC1NC2=CC1NN2,22.898,25.478985,0.1127166055010774
N#CC1NCC(C=O)O1,28.5921,28.435537,0.0054757314692926
C#CC1OC1CN,26.4605,27.311813,0.0321729882085443
CCCC(C=N)CNC,38.0385,40.138344,0.0552031181838179
CCC1NC(C)CC1O,35.4001,38.556374,0.0891600192143921
CCC(O)C(=N)OC=O,36.7963,35.25379,0.0419201982513994
O=CC1CC2CNC12,24.6539,26.786495,0.086501332800905
C1CNC2CC2CCN1,24.9382,32.936546,0.3207266894035494
N#CC1=CC1C1CO1,30.2014,25.029861,0.1712350602887511
CCCN(C)C(O)OC,40.6739,40.880405,0.0050770992215004
CCC1=CCC1(C)O,38.8304,33.987892,0.1247091930322914
C#CC1=CC1C(=O)C=O,31.0043,30.02631,0.0315436901642348
COCC#CC(C)=N,32.7557,32.586617,0.0051619560530446
CC1C2CC3CNC1C32,29.3733,30.840729,0.0499579127903784
C#CCCC1C2CC12,33.2268,29.764399,0.1042050821978311
CCCN(C)CN1CO1,30.8255,36.821453,0.1945127603601699
C1CNC2CCC2CN1,24.4706,32.336937,0.3214607304554687
COC1(C)CN1C(C)O,32.5444,38.692726,0.188921170316672
O=C1C=COC=NC=N1,22.7348,25.582472,0.125256076478974
C#CC1NCC2CC1C2,31.1292,31.315712,0.00599154411606
CCCC(C)C#CC=N,39.1385,38.429344,0.0181191364705828
C#CCNC(C)C=O,28.2978,32.89326,0.1623964038126832
CC(NO)C12CN1C2C,42.236,37.068672,0.1223441571129893
CCCC(C)C1OC1=O,42.236,36.27694,0.1410896062105822
Nn1cccc[nH]cc1,28.5555,31.575531,0.1057600464309634
C#CC=CC1CC1O,33.133,30.519655,0.0788743781830462
O=C1CC2NC2C=N1,29.3037,24.009733,0.1806586471990484
C#CC1CC2(CC2)N1,31.386,30.357365,0.0327736999126675
CCc1ncn(CO)n1,24.2983,31.690752,0.3042374169970304
C#CC(C)=NCC=N,31.5756,31.280697,0.009339589148061
C=C(C)N(C)CCC,39.2944,36.856647,0.0620381659611783
CCC1CC=COCC1,33.0039,32.58784,0.0126063576142351
CC1C2=CC2CC1CO,32.0191,34.06823,0.0639971040814066
C1=CC2=NN=C2CN1,21.0563,21.92298,0.0411600972088352
OCC1=NC=COC=C1,28.3636,29.135471,0.0272134476580595
C1=COCC2CC2=N1,23.5549,24.530542,0.0414199327382933
COCC1=CCCO1,25.0226,29.14252,0.1646479943947078
O=C1CC=CCNCN1,28.0329,31.552492,0.1255521955175394
N=CC1CC2CNN12,24.2435,25.174877,0.0384176033472083
N#CCc1nn[nH]n1,22.7487,22.097889,0.0286087140569261
N=CCC1C2CNOC12,25.1845,30.13398,0.1965288092820298
CCCC1CCNC1C,40.9556,39.49615,0.035634907791389
CC12CC(O)CN=C1N2,21.4986,33.237988,0.5460535810848403
C#CC1=CNCCO1,28.6495,27.887138,0.0266099454894773
CCCC12CC1C21CC1,36.8336,36.29191,0.0147064564918943
C#CC1=CCCC=CO1,27.8526,31.869928,0.1442353087318725
CCC12N=CC1=NC2N,25.6707,31.07246,0.2104251218143855
COC1=CCCC1O,32.6704,30.272429,0.0733989019854901
CC1COOC2CC2N1,29.5742,31.285625,0.0578688673831809
COC12CCCC1NC2,32.7384,33.169506,0.0131682083729824
C1=C2CC2C2CCC12,29.6271,25.942295,0.1243727845633595
C=C(CCC)NC(C)N,39.1344,41.62224,0.0635716443635187
N#CC1=C2CC12,26.2033,20.978634,0.199389623420896
CCc1c(CC)c1=O,36.7928,32.643238,0.1127819011429694
CCC1=CN=CON=N1,32.8757,30.239613,0.0801834613606493
N=C1C=C(F)C=C1N,25.1905,27.16893,0.0785387369727054
C=C(COC)NC,29.0512,26.044746,0.1034881037986114
CC1C=COOCC1O,28.6796,32.254234,0.1246403127646425
CCC1=CC(=O)C1,30.1068,26.258297,0.127828365467179
C#CC1CCN2CC2C1,28.762,32.573555,0.1325205129224595
CCNC12CC1(O)O2,31.1813,31.383747,0.0064925805155679
OCC1=NC=CON=C1,25.2353,28.498138,0.1292965975333908
CC1C=NN=CC=CO1,25.2353,29.191307,0.1567648123014624
C#CC(O)(CCC)OC,38.5061,40.242752,0.0451007002837293
CCCC1(CC)CC1=O,39.793,38.599495,0.0299928395928421
c1cn2ccc-2nnn1,21.9731,23.235453,0.0574499115726747
CCNCCCCCN,33.1108,42.15188,0.2730552676750062
CCN(CCO)NC,38.1015,36.389214,0.044940131963001
CC1N=C=CC2CCC21,36.5946,31.44308,0.1407726576571513
CC1C2(O)CCNC12C,33.6301,36.666885,0.0902996237292355
C1CNOCC2(C1)CC2,28.4239,33.936203,0.1939319728443207
N#CC1=CC=CC=CN1,26.4151,28.848791,0.0921325727495457
COC1(C=N)CO1,34.9442,25.69137,0.2647887200057241
CCC1NC1C1OC1=O,40.3552,31.564724,0.2178275917724145
C#CC1CCN1CCO,30.0056,35.681538,0.1891626105851516
CCN1OC1C1CCO1,32.474,33.961525,0.045806644188548
C1CNCCC2CC2C1,22.4721,33.5704,0.4938701873895678
CC1=NC=NN=NC=C1,21.7299,28.079699,0.2922148082882144
N=c1ncocc1O,26.5878,23.835693,0.1035101302336034
OC1=CC=NC=CCC1,23.4435,29.94928,0.2775088952228229
C=C1CC2C3C(C1C)C23,31.8031,31.176327,0.0197079293619495
C#CC(N)(C#N)NCN,35.7831,36.87793,0.0305962783408928
O=CC1=CC2CC2CO1,25.24,28.923203,0.1459271994710158
N=C1CCC(CO)=CO1,24.0776,30.654072,0.2731365172550972
CCCC1=CC(C#N)C1,37.7162,34.087208,0.0962183943719289
C#CCNCNC1CO1,39.2081,34.09272,0.1304674281146426
CC1(C)CN(C=O)C1O,37.9171,37.38651,0.013993450404952
C#CC#CC#CC=C,37.9171,28.572803,0.2464401682271467
CCCN1CCC1CO,36.9772,35.450836,0.0412785126607579
CCC=NCC(C)C=N,30.5362,38.980743,0.2765420519974038
N=C1Cc2nnncc21,28.0908,25.379848,0.0965067395651028
CCC1=CC(O)C1C,41.5483,33.4691,0.1944531797414469
CC1NNCC2CC21O,30.2332,32.976147,0.0907263107444149
OCC12CNNC1C2,22.2178,28.156025,0.2672733093673238
CC(=O)C(NN)NCO,36.9642,36.044712,0.0248750935594333
CC12CCC3=C1C2NC3,27.6152,30.457428,0.1029225925763935
C#CC1NC1=CCCC,29.661,36.219597,0.2211185348704685
N=CC1C=NNC=CC1,29.4855,29.409626,0.0025732645849627
CC(C#CCN)CN,38.0503,35.781044,0.0596383206874149
O=CC12C3CCC1C32,21.7273,26.122606,0.2022941772546897
CC1C2CNNCC12,21.3857,28.299545,0.3232929148022247
CCC1NC(C)CC1=O,36.2742,35.954735,0.0088069536407117
N=CC1=C2CNC2C1,21.9196,25.81454,0.1776921505427613
CCC1OC(OO)C1=O,41.3598,32.2893,0.2193071772293273
N#CC1=CC=NCCO1,28.0659,27.60223,0.0165207575021116
O=CCC=C1CC2CC12,26.3112,32.044846,0.2179165367240828
CC1=CCC1CCCO,29.59,37.51758,0.2679140968232511
CC1OCC(N)O1,22.4186,26.175812,0.1675935057308718
CC1C2CC3CCCC312,30.5612,32.63172,0.0677500064324055
C#CC1NCC(O)C1N,31.0247,35.292747,0.1375693398343447
O=c1cc2cncc1-2,28.4394,21.519392,0.2433246828853701
CC12C=CC1C2=O,29.313,22.417828,0.2352257494558328
CC1=C(O)CNC2OC12,35.8107,31.212421,0.1284051577535113
CC1NCCCC1ON,28.2046,35.955276,0.274801858181212
N=C1C=CN=NON=N1,22.7171,26.158487,0.1514888484862192
Cc1c(CN)ncn1N,21.0668,34.070026,0.6172378528160459
CC(=O)N(N)C(C)=O,40.0597,31.73831,0.2077247243431804
COC1=CC12CC2C,34.2035,32.666645,0.0449326808645656
CCCN(C)C(O)C=O,40.9775,38.856827,0.0517521375821716
C#CC1(C)CC1(C)OO,38.6495,37.90249,0.0193278384326811
CC(C)OC(C)NC=N,37.098,40.77234,0.0990441227879535
CC1=NC2OC3CC2C13,38.4705,28.801886,0.2513254154518813
CCOC1OCC1CO,27.2804,35.493332,0.3010561395426638
C#CC(=C)C1CCC1,32.9583,30.547247,0.0731546550342888
N#CC1NC2=NCC21,25.4393,24.033596,0.0552571792927336
CC1C(O)C=C2NC21,25.4393,29.162823,0.1463689143721986
CC1C2CC1C1(CN1)C2,30.724,32.29699,0.0511974170328723
N#CC1CCC(N)CN1,29.1516,33.436264,0.146978692012992
CCOC1OC12CCC2,33.3681,35.21159,0.0552470717011883
C#CC1CCOC(O)C1,32.8711,33.125862,0.0077503375786643
CCCC(CN)CC#N,32.704,39.14334,0.1968976597496674
C1CC23CC24CC4C13,24.4173,26.523344,0.086252126153055
CCOC1OC2CC21,27.1587,29.385265,0.0819835025366382
CCC1=CC1(O)CC=O,39.0738,35.693577,0.086508688360381
CC1(O)CC1NCO,24.7788,33.581398,0.3552471471683013
COCC(C)C1OC1O,39.2949,37.125458,0.0552092570875132
OOC1CCCC12CC2,29.1788,33.543793,0.1495946620357717
CN=C1NC12C=N2,29.1788,23.371742,0.1990163321132069
C=C(C)CC(N)CC,36.2257,38.103165,0.0518268707810079
CC1CCC=C2C(C)C21,34.5264,34.997757,0.0136520737177293
CCCC1CCONC1,33.1646,35.752293,0.0780257453144811
N=C1C=CN=CC1O,21.0283,25.206127,0.198676410682178
N=CC1=C2CNCC12,21.946,25.816496,0.1763645263549503
OCC1=NC=CN=CO1,28.9295,26.769993,0.0746472345402049
N=CC1=CN=C2C=C2N1,25.5405,23.941774,0.0625957061026161
CCN1C=NOC=C1F,32.7302,29.769289,0.0904641885254709
CC=C1N=CN=NN=N1,22.6131,26.65047,0.178541232013416
CCC1(C)C=C2CC21,33.8358,31.953178,0.0556399314997216
CCC12CCC1=CN2,32.5126,30.569427,0.059766752267294
CC(N)C#CCCO,41.419,34.419624,0.1689894896396995
O=CC1=CC2OCC12,29.7508,23.99408,0.1934980037564116
N#CCc1nc[nH]n1,24.3219,22.966791,0.0557155833650289
CC12CCNC3CC1C32,31.5446,32.966812,0.0450857558437597
O=CC1CCC2NCC12,28.9953,30.546614,0.0535022466826452
CCC12CCC(O)N1C2,32.9402,35.42096,0.0753110021389139
N=CC12C3C(O)C1C32,26.4928,27.037834,0.0205729166973845
COC(CC(C)C)OC,39.9315,41.490105,0.039031959112304
N=CCC1CCC(O)C1,28.3376,34.484108,0.2169029124270018
O=CC1NC2(CC2)O1,28.6326,26.535383,0.0732457679537553
O=CC1=C2CC12,22.6912,20.981794,0.0753334174790312
CCC1=C2CCCC12O,41.8285,34.669594,0.171149005796642
CCCC1CN2CC2O1,41.8285,34.38894,0.1778586632604899
N=CC1CC2CNC12,22.1438,26.954613,0.2172532596904594
N#CC1=CC=NN(O)O1,34.1816,25.697454,0.2482079700039013
CCNN(CC)NC=O,31.3148,37.14451,0.1861646365876967
CC1C2CC(N)CN1C2,31.5166,35.376274,0.1224647997844538
N=C1NC2C=CN=C1C2,27.1607,27.445301,0.0104784138813876
C1CNC2CCC2OC1,23.1271,31.620476,0.3672477642697515
C1CC2CC23CCC13,21.2522,27.946442,0.314990525705133
C=C(O)N(CC)CO,42.2308,34.474632,0.1836613972933595
CC1C2CCC1(N)C2=N,38.436,34.730827,0.0963984979825432
COCC1OC1=O,22.0195,24.618944,0.1180519161693417
CCC1=C=C(CO)N1,40.9149,31.482204,0.2305442653591758
CC1NCC1=CCC=N,33.4857,34.634804,0.0343162535641379
CCN1CC1CC=N,33.9431,32.141617,0.0530736196373029
O=CC1=CC=C2CC12,25.7827,24.91543,0.0336376690971182
N=C1C=NOC=CO1,24.2695,23.311481,0.0394741764012411
Cc1nncnn1,22.1872,21.183048,0.0452581556802564
C=CC(C)NC(C)CC,39.4063,41.753166,0.0595556090962731
N=c1ccnncn1,24.0811,23.53913,0.0225060625468874
C1=CN=NC=CN=NC1,21.1869,26.22417,0.2377540218160491
CCCC1CCC2=C=C21,29.4119,33.717007,0.1463729539182987
CCC1=CCC1(C)C,39.186,35.47268,0.0947614163685093
Cc1c2ncnc1-2,24.5042,21.044643,0.1411821890900495
C#CC1CC(CO)CN1,39.6111,35.78958,0.0964759550018019
C=CCC1(C)OC1=O,34.2407,29.61178,0.1351876519280861
CCC1C2CCN12,31.0047,26.773657,0.1364645732713822
O=CC1C2CN(CO)C12,23.9627,31.321262,0.3070840247392463
N=c1ccncnn1,22.4172,22.447159,0.0013364208499081
CC1C#CCC(O)C1C,41.133,36.73847,0.1068371339273572
