SMILES,des_cv,pred_cv
N=CC12C3C(O)C1C32,26.4928,27.037834
C1CNC2CC2CCN1,24.9382,32.936546
CCCN(C)C(O)C=O,40.9775,38.856827
CC1CC1NC#CC#N,33.2843,32.98739
CCNN(C)C1=CO1,31.0374,31.137722
CCC1=CC=CN=NO1,23.0081,29.888716
CC(C#CCN)CN,38.0503,35.781044
O=C1CC2NC2C=N1,29.3037,24.009733
O=CC1=CC2CC2CO1,25.24,28.923203
NC12CCCC=CC1N2,32.1385,34.18943
C#CC1=CNCCO1,28.6495,27.887138
CCC1OC1CN1CO1,32.5024,33.608925
OCC1=CN(F)N=CO1,27.3875,27.510489
NCC1=NC=CON=C1,22.5287,28.53624
N=CC12CCCC1OC2,21.9097,31.157429
N=CC1=C2CCC2C1,25.0669,26.208612
CC1N=NC(CN)=CO1,21.0948,32.36423
OCC1=NC=CON=C1,25.2353,28.498138
N=CC1=CC2CC3C1C23,24.377,27.822355
COC1(C=N)CO1,34.9442,25.69137
N#CN1C=NC(C=N)C1,25.3322,28.700182
COCC(N)OC,24.4687,31.046799
CC(=O)N(N)C(C)=O,40.0597,31.73831
CC1CCONCCN1,27.5208,34.122448
N=CC1CC2CNC12,22.1438,26.954613
O=CC12C3CCC1C32,21.7273,26.122606
CCC1=NCC1C(C)=O,37.9238,34.507755
N=CC1=CCCCC1=O,28.5951,30.782524
N=CC1=CC=CCOC1,26.5405,29.762245
CCC1CC=COCC1,33.0039,32.58784
CCCC#CC1NC1=O,33.1078,33.81913
CC1C#CCC(O)C1C,41.133,36.73847
N#CC1=CCCCO1,25.9438,26.343235
CC1N=CN=NN=CO1,26.9545,27.982742
CCC1=CC1(C)C1CO1,40.5807,35.97589
CCCC1OC12CC2O,39.7868,36.928543
N=c1cnnccn1,28.3145,22.409275
C1=NC2CCOC2N=C1,21.3724,27.78504
O=CN1C=CN=CN=N1,26.1963,26.142977
CC(C)(N)N,20.9917,24.494137
CC1=NN=CNC(=O)C1,30.702,28.958202
CC(C)OC(=O)OC=O,40.8674,33.51307
CCC1(C)C=C2CC21,33.8358,31.953178
O=CC1C2CN(CO)C12,23.9627,31.321262
N=C1NC2C=CN=C1C2,27.1607,27.445301
COC1NC1C1CC1O,30.9574,34.770885
CCc1c(CC)c1=O,36.7928,32.643238
O=C1CC=CCNCN1,28.0329,31.552492
N=c1ccncnn1,22.4172,22.447159
CCCC1OC1CN,24.9376,34.228386
CC1NCCCC1ON,28.2046,35.955276
C#CC1CCOC(O)C1,32.8711,33.125862
CCCC(C)C#CC=N,39.1385,38.429344
CCCN(C)C(O)OC,40.6739,40.880405
CCNCCCCCN,33.1108,42.15188
N#CC1NC2=NCC21,25.4393,24.033596
O=CC1NC2(CC2)O1,28.6326,26.535383
OC1=CC=NC=CCC1,23.4435,29.94928
N=CCC1CCC(O)C1,28.3376,34.484108
CC1=CCC1CCCO,29.59,37.51758
C1CC(CNC2CC2)C1,24.5917,34.05517
CCC(=N)CCC(N)O,36.0626,40.436638
CC1CNNC1CNN,24.0235,32.71677
CC1C=NN=CC=CO1,25.2353,29.191307
O=CC1=C2CC12,22.6912,20.981794
C#CCCCCCCN,30.9702,39.856415
CCCC(C)C(O)OC,37.0142,41.56491
C=C(O)N(CC)CO,42.2308,34.474632
CCC1C2CCN12,31.0047,26.773657
CCC1=CC(O)C1C,41.5483,33.4691
CCC12CCC1=CN2,32.5126,30.569427
CC#CC=CC(C)C#N,35.8836,35.4041
CCC1OC(OO)C1=O,41.3598,32.2893
CCCC1CCC2=C=C21,29.4119,33.717007
CC1C2CC3CCCC312,30.5612,32.63172
CCC1NC1C1OC1=O,40.3552,31.564724
CCOC1OC12CCC2,33.3681,35.21159
C#CC1CCN2CC2C1,28.762,32.573555
CC=C1N=CN=NN=N1,22.6131,26.65047
CCCC12CC1C21CC1,36.8336,36.29191
CC1C2CCONC12,23.8583,28.62148
O=C1C2=C3C(O)C13C2,23.2633,24.81687
CCCN(C)CN1CO1,30.8255,36.821453
C#CC1NCC(O)C1N,31.0247,35.292747
N=C1Cc2nnncc21,28.0908,25.379848
CCc1ncn(CO)n1,24.2983,31.690752
CC1C2CC(N)CN1C2,31.5166,35.376274
N#CC1=CC=CC=CN1,26.4151,28.848791
CC12CCNC3CC1C32,31.5446,32.966812
CCC1=CCC1(C)O,38.8304,33.987892
C#CC#CCC(O)C=N,34.8721,35.19172
Cc1cc1=NCC=O,34.7663,28.724709
CCC1=C2CCCC12O,41.8285,34.669594
C#CC#CC#CC=C,37.9171,28.572803
CCC1=CC1(O)CC=O,39.0738,35.693577
COCC1OC1=O,22.0195,24.618944
C1=COCC2CC2=N1,23.5549,24.530542
O=CC1=CC2C=CC12,27.1812,23.89605
CCC1=CCC1(C)C,39.186,35.47268
C#CC=CC1CC1O,33.133,30.519655
COCC(C)C1OC1O,39.2949,37.125458
N=CC1=C2CNCC12,21.946,25.816496
N=c1cc2ccnc1-2,23.3737,22.881193
CCC1NCC1NC=O,33.3937,34.858307
COC1(C)CN1C(C)O,32.5444,38.692726
CCC=NCC(C)C=N,30.5362,38.980743
CCN1C=NC=NN=C1,35.4785,29.636719
C#CCNCNC1CO1,39.2081,34.09272
Cc1c(CN)ncn1N,21.0668,34.070026
