SMILES,des_cv,pred_cv,Err_pred_des
CC1C(O)CCCC2CC21,39.4479,39.66011,0.00537951256297079
CCCC#CCCC=N,39.4479,38.223312,0.031043163820388655
C#CC1(C)C2CN21,39.4479,24.812233,0.3710125768116577
COCC1CCOCCO1,39.4479,37.989117,0.03697999972872638
CCC1CC(CC)O1,46.7142,34.08851,0.27027523523988356
CCC1CCNCCCC1O,46.7142,45.3031,0.030207076521967587
CC1OCOC=CCN1C,46.7142,38.53308,0.17513130793875306
C#CCNC1CCCC1=O,52.5402,36.753197,0.3004747466452622
CCC1OCC2OCCCC12O,52.5402,41.17598,0.2162957199580928
CC1=CN=NN=NC=C1,23.8658,28.136276,0.17893706664420164
C1CC23COC(C2)OC13,23.8658,27.675613,0.15963485000797428
O=CNC12C=NC=CC1=N2,23.8658,28.1778,0.18067691947697187
COCOC(COC)OC,48.8408,41.59216,0.14841363631962964
CC#CCCCCC#N,48.8408,36.85887,0.2453262137401325
CCCNCCCC1CC1C,48.8408,48.278225,0.01151854709447106
CCCC1OCC1CCCO,48.8408,43.972183,0.09968339528551823
CCCC(C=O)CC(N)CO,48.8408,44.431786,0.09027318177638179
CCC(CO)C1C=NC1C,48.8408,41.001236,0.16051260499594475
C#CC(C)C(=N)O,48.8408,27.519077,0.43655555803702256
CCNC=CC1=C(O)C1,42.9566,34.67203,0.1928590390629638
CC1CNC1=CCC=O,42.9566,34.01447,0.20816663453977935
CCCC(CCO)COC,42.9566,44.27001,0.03057532257803148
CCCC1=C(O)CCCN1,42.9566,39.923534,0.07060767394741331
CC(C)CCCNNCCC=O,42.9566,43.045376,0.002066639910388804
C#CC#CCC(=O)CC,42.9566,35.962746,0.16281210183059402
CCCC1CC1(C#N)CO,42.9566,39.976395,0.06937712357774332
CCC(C)=CNCCOO,51.0373,42.28324,0.17152276331285835
CC#CC(C#CCCN)CC=N,51.0373,43.266438,0.15225849465944366
CCCC1CC1NCC,51.0373,40.778046,0.20101483318481045
CCCC(C)CNCCCO,51.0373,46.745193,0.0840974447816536
CCCC(N)C1CC1C,51.0373,41.533623,0.18621042371561158
CC(=O)C1C(O)C1C=O,51.0373,34.599545,0.32207337525404983
C#CC1OCC1(C)CO,50.9739,36.195004,0.28993066040617876
CCC(N)CC(O)CCO,50.9739,45.012135,0.11695721630085293
CCCC(CCC)CCO,50.9739,45.743584,0.10260773299278222
CCCCC(C)NCC=O,50.9739,43.4532,0.1475401863709602
CCC1CCC(CO)O1,50.9739,36.62426,0.28150955785744336
C#CC(OCO)OCOCC,50.042,42.828323,0.14415244466132826
CCC1CC(O)C=C1CN,50.042,40.513664,0.19040677339823614
CCOC1OC1C(C)C1CO1,50.042,41.051537,0.17965835577997297
CCCC1CC1C1CC1,50.042,38.371246,0.23321916914010984
CCC12CCC1CC2O,50.042,35.99044,0.2807953245543275
CC1N2CC12CCC=NO,50.042,38.74078,0.2258347013167143
CCCC(O)C1CCO1,51.6243,37.555702,0.27251890661040135
CC(C)CC(N)CC(N)NO,51.6243,44.022335,0.14725555499076529
CCC1CCOC1CCCO,51.6243,44.47288,0.13852814823370635
C#CC(C)(CC)CCC,51.6243,42.9756,0.16753154626234032
COCCC1COC1COC,50.0333,42.55092,0.14954802943036807
C#CC1=NCCC2COC12,50.0333,32.60959,0.34824229816848223
CN=C1CCCNNNCN1,31.7662,37.71356,0.18722284053558444
C#CC1=CNCC1O,31.7662,28.869432,0.09119024468331689
