SMILES,des_cv,pred_cv,Err_pred_des
CC1CCN(C)C1(C)C,32.5124,40.445267,0.24399511336083504
CC#CCC(=O)C=O,37.056,29.987404,0.1907544292522423
CC(C)CCOOC#N,40.6989,36.286514,0.108415355642866
C#CC#CC1CCC1C,40.6989,34.9838,0.14042396770642723
CN=C(C)C#CNC,40.6989,33.323433,0.1812203051590269
O=CC1CC2CCN12,22.7691,26.386595,0.1588773720673573
CC#CC1(O)CC(O)C1,38.3857,36.4839,0.049544539689472984
C#CCC1(C)CC1=O,34.7064,31.0451,0.10549353265038006
C#CC#CC(C)COC,39.7195,37.705276,0.05071120005896812
CCC1CC(N)C(C)N1,39.7195,40.305534,0.01475432376522797
CCC1C(C)C1C=O,39.7195,33.29842,0.16166064647358147
C#CC#CC(C)C#C,39.7195,32.28618,0.18714539234211935
CC#CC1C2CC(C)C12,39.1368,35.759396,0.08629740808228487
CC#CCCC(N)C#N,40.1262,37.059574,0.0764245274360077
CC(=N)CCCC=O,40.1262,33.001358,0.1775608447292152
C#CC(CC)CCCC,40.1262,41.523544,0.034823738891882124
CC1=C2CN2C2OC2O1,27.7091,28.470089,0.027463503280158324
C1=C2CC3CCC1N23,27.7091,23.165287,0.16398269818138206
N=CCNCC1CCN1,25.4833,33.24181,0.3044546760023507
CC1CNCC(O)O1,25.4833,30.555515,0.19904075568339424
CC#CCC(NC)NN,25.4833,38.260536,0.5013964515524935
C#CC(CCC)CN=C,31.5872,38.678032,0.22448434560159558
C#CC#CC(C)C1CC1,31.5872,36.050575,0.14130328919143378
C#CC(C)CN1CO1,31.5872,30.863878,0.02289920442071247
N#CC1=NC(=O)C=N1,28.2448,21.804388,0.22802115623886
CCC1=NN=C1CC=O,28.2448,31.420052,0.11241897888131726
C#CCN(C#C)CC#N,28.2448,38.326637,0.35694489846153643
CC(=CNN)C(C)(C)N,37.6224,41.506668,0.10324349565206668
CC1C2CC(C#N)C12,21.9779,28.051353,0.2763436658911835
O=CC1NCCN2OC12,21.9779,28.50667,0.2970606836034809
O=CCC1=COC1=O,26.9244,25.040073,0.0699858346044706
OCC12CC3COC1C32,26.9244,30.361977,0.12767514312427233
OC1C2CC=NCC1C2,26.9244,30.575565,0.13560804839234178
Cc1ncc(ON)cn1,26.9244,30.260641,0.12391143713592365
C#CC#CCOCC=O,31.4705,33.0156,0.049096719058138234
C#CC1=CC(CO)C1=O,31.4705,31.233978,0.0075156647817996615
CC1NNC(=N)C1C,31.4705,30.669388,0.0254559725017775
C#CC1CCC(CO)N1,29.1259,35.00426,0.20182590123723906
O=C1CCC2CC2CN1,29.1259,31.094814,0.06760011881305325
C=C(C)C(C)C(C)C,39.4617,38.761185,0.01775177723253656
CCC(O)C1CCC1C,39.4617,39.987114,0.013314529091162274
CC1(O)CCC1C#N,32.1943,30.79242,0.04354437171816901
Cc1nnncnc1=N,32.9446,27.187527,0.174750134987802
CC#CC1CC1CCC,32.9446,39.066414,0.18582146632208404
CC1C2CC1C2,27.3973,21.908686,0.20033413204205888
CC1N=CC=NN=CO1,27.3973,28.558119,0.04236982550070366
C1=COCC2CC=C2N1,25.379,29.149399,0.1485637260613474
CCN(C=O)NC1CN1,40.1421,35.051228,0.12682127816979982
C#CC#CC(=N)C#N,40.1421,26.728565,0.33415129711538627
CCn1ncc(C)c1O,40.1421,34.30029,0.1455282819271355
CCC(N)C(=O)C=N,41.5994,33.0021,0.20666880055497538
CCCC(C=O)CO,41.5994,34.291718,0.17566797768004172
CC1CCNCC1C,28.3051,33.601242,0.18710910985757648
OCCC1CCC2=CN21,28.3051,32.501877,0.14826928119154104
C#CC#CC(C#C)NN,35.9176,34.530968,0.03860592822453773
C#CCNCC(C)C=O,35.9176,37.44871,0.04262844386216428
C=C1CC2C(C)=NC2O1,35.9176,30.168755,0.160056502170615
N=CC1=CC=CC1C=O,24.9826,29.609917,0.18522158170133282
N=CN=CC1CC1=N,24.9826,26.917809,0.07746225503810021
N#CC1CCC2CC1C2,24.9826,30.26139,0.21129869133057225
Cc1ncnocco1,24.9826,27.089314,0.0843272320367006
CCC(N)C(C=O)CO,40.8423,39.448654,0.03412260879517838
C#CC(C)(C#N)CO,40.8423,32.472294,0.20493474036085715
CC(=N)C(C)CO,40.8423,31.08157,0.2389858144220365
CCCC#CC(C)C=O,31.6976,38.29509,0.20813846227095067
CC(C)C(=O)CCO,31.6976,35.632908,0.12415160351041211
CC1=C=CCNCC1C,31.6976,36.088425,0.1385223071342053
C#CCNC(=N)NC,31.6976,33.340725,0.05183751908877511
CC1=NC=C(O)C=CO1,26.8079,29.428274,0.0977463417374388
CC1CCCC2OC2C1,26.8079,33.14914,0.23654368317909552
N=C1NCCC(O)C1=O,26.8079,31.14764,0.16188288632348988
CC12C(C#N)C3C1CN32,28.0611,29.33995,0.04557378582890328
CC(C)C(=N)CN1CC1,29.9408,37.5776,0.25506327725970396
CCC=NCC1=CCC1,33.2378,34.71638,0.044484925987822506
C#CCCCC(C)CO,33.2378,40.865166,0.22947865714485371
OCC12CC3CC1C32,24.6661,28.425776,0.15242277976470142
CNC(=N)C(C)O,39.4312,26.874413,0.31844801739178374
OCC1CC2CC1O2,26.8371,27.359789,0.019476355293728487
Cc1coc(C=O)c1,26.8371,26.018753,0.030493121396953732
CCC1CCCCCN1,31.3505,37.422928,0.19369476902905255
COC1OC1(C#N)CN,31.3505,34.009857,0.08482662725425032
CCC1=CCN(C)C1O,31.3505,36.182827,0.15413875363549573
OCCC1CC2CCN12,23.838,33.18383,0.3920559720291328
CC1OCCC(N)CO1,34.3005,35.52581,0.035722809921115414
C=C(C)N(C)CC#CO,41.8421,38.75344,0.07381702025152677
