SMILES,des_cv,pred_cv,Err_pred_des
CCCC#CCCC=N,32.5124,37.96525,0.1677159516956655
C#CC1(C)C2CN21,32.5124,24.697763,0.2403586495308508
CC1=CN=NN=NC=C1,22.7691,27.833511,0.2224247490036523
C#CC(C)C(=N)O,38.3857,27.624979,0.2803315031596392
CCNC=CC1=C(O)C1,34.7064,34.747826,0.0011936018301694
CC1CNC1=CCC=O,34.7064,33.950417,0.0217822486647591
CCCC1CC1NCC,39.7592,40.82698,0.0268561890284591
CCCC(N)C1CC1C,39.7592,41.23519,0.0371232656898238
C#CC1=CNCC1O,27.7091,28.760134,0.0379309953512071
C#CC#CCC=CCO,37.2733,35.23312,0.0547356964744304
CCC1=CC2(O)CC12,37.2733,31.818146,0.1463555480208855
CNNCCC1NC1C,25.4833,37.82229,0.4841990053558053
C=C(C)C(C=O)CN,31.5872,33.54348,0.0619326790419408
CCCC1=CC1(O)CC,40.9518,40.122055,0.0202615012353318
OCc1nnccc1O,28.2448,29.716236,0.0520958234613787
NCc1cccnn1,21.9779,26.529331,0.2070912692875747
C1=CN=NN=CCC1,21.9779,25.799805,0.1738976284130876
CN(C#CC#N)CN,27.7259,29.658577,0.0697065547135361
CC1=NC=NN=NC=C1,27.7259,28.0795,0.0127534254384621
CC(C)CC(C)(N)C=O,40.9351,41.00892,0.0018033121259513
CC(=N)CC(C)(O)CO,40.9351,40.43699,0.0121683144644471
O=CC1=C=C(O)C1O,26.9244,26.63072,0.0109075731102714
CCN1N=CN(O)C=N1,30.8896,30.555067,0.0108299536938669
C1=COCN2CC2CN1,24.9482,29.637957,0.1879797588308052
N=C1Cn2cccc21,29.1259,24.52391,0.1580033398981341
N=CCC1CC2CC2C1,29.1259,32.628002,0.1202401356438099
CCCC1C2C(CO)C12,39.4617,37.373974,0.0529051245527803
CCNC#CC(=O)OC,39.4617,34.948753,0.1143627021407188
C#CCC(C)=CNC,32.1943,34.747456,0.0793045848775662
C#CCNCCC(C)C,32.1943,41.407585,0.286177526582127
C1CC2COC3(C1)CC23,36.0052,29.632315,0.1769990256405509
COCC=CC1CC1C,36.0052,37.482323,0.0410252600421908
CNC1OC(C)C=C1C,32.9446,36.205727,0.0989881990837695
CC1C2NCCOC12,23.0624,28.626541,0.2412646185000395
N#CCC=CC1CN1,25.379,28.391222,0.1186895464802422
O=CC1N=C2C=CN=C21,25.379,24.007467,0.0540420319989968
COCC(C)C1NCO1,32.2009,35.83512,0.1128608565221829
CCC1(C)C=CCC1N,32.2009,38.71407,0.2022666871564174
CCNC#CC1CC1C,40.1421,37.068,0.0765804281924206
CCC12CC(O1)C(C)O2,40.1421,33.3716,0.1686632960224719
C#CC(C)C(=N)CCO,41.5994,36.952614,0.1117032017152554
CCc1cccnn1,28.3051,27.024027,0.045259445445254
C1=CN=NC=CN=CC1,28.3051,27.73143,0.0202673704134259
CC1C2CC1N2CO,22.4126,29.569294,0.3193156517240336
N=C1N=NOC=CO1,22.4126,25.968952,0.1586764667622264
OC1C2CC3CC31CO2,26.8079,28.558939,0.0653180211841486
CCC1OCNOC1C,26.8079,34.78082,0.297409306182468
CCCC1C=C1C#N,28.0611,30.000357,0.0691083626156614
N#CC1=CC(=CO)N1,28.0611,26.597462,0.0521589780714421
CCCC12CC1(O)C2O,35.8879,37.22209,0.0371766437937211
C#CC1NC(=C)N1C,33.2378,30.225948,0.0906152533037615
CCC1C=C(C#N)O1,24.6661,27.194992,0.1025250066054093
C#CNCOCC(C)=O,39.4312,35.064053,0.110753601671085
CCC12CC(OO)C1C2,39.4312,34.778313,0.1180001449840362
N=CC1=CC=CCCO1,26.8371,29.727852,0.1077147630584445
O=CC1=C2CC12C=O,23.838,25.143728,0.0547750757708526
CC(CCO)CNC=N,34.3005,38.692757,0.1280522631691092
C=C(C)C(CC)CC,41.8421,38.498024,0.0799213235756235
C.C=COC(=C)NCC,41.8421,38.445282,0.0811818244681344
CCC1(COC)OC1=O,41.8421,34.799355,0.1683172079503023
CCC1=CC2CCC12,33.0697,29.946228,0.0944511735109858
CCCC1CC(OC)O1,39.9794,37.237076,0.068593430475093
CC1(C=O)N=CN1,21.1529,24.732746,0.1692366590050338
C1=NC=c2cccnc2=1,22.5601,22.214449,0.0153213448152707
CCCC(N)C(C)(C)N,38.0081,42.18599,0.1099210268306706
CN=CC(C)(C)C,39.0301,33.620377,0.1386038829796986
CC1=NC=NN=CC1O,22.5916,28.501965,0.2616177946268435
CC1CCC(N)C1,22.5916,29.73993,0.3164153578860617
CC1=NN=C(F)N=CO1,22.2357,26.475199,0.1906618071716895
CCC12NC1OCC2=O,35.5323,31.503614,0.1133809399994039
O=CC1C2CCC13OC23,25.0519,27.966064,0.1163250872438817
CCOC1CC(OC)O1,35.5851,34.990604,0.0167063068353111
CC1=CNC(=N)C1C,27.6176,31.127888,0.1271032865212791
CC1C2CC(=O)C1N2O,27.6176,30.907787,0.1191337162895417
CCC1OC=C1C#N,27.6176,27.602564,0.0005444405729597
CC1C(O)CN1CO,27.6176,32.662666,0.1826757691037882
CCC1(CCN)CO1,29.3236,34.382484,0.1725192144223477
