SMILES,des_cv,pred_cv,Err_pred_des
CCC1CC(=O)C(O)O1,32.5124,33.699615,0.036515774858688545
CC#CC#CCC,32.5124,23.179901,0.2870442931605518
CCC1CCC1C1CO1,37.056,35.342518,0.046240342919278775
C#CCC(=N)C(C)NO,40.6989,37.170925,0.08668477181494198
CCC1CC(COO)O1,38.3857,34.94785,0.08956071470152581
CC#CC(=C=N)C#N,34.7064,29.52232,0.14936957466919157
C#CC#CCCCCO,34.7064,37.309273,0.07499691025612795
COc1nncnn1,34.7064,22.912598,0.339816355016654
COCC1CCCCC1,39.7592,39.37576,0.009644079238116977
CC1CCN(C)C(C)C1,39.7592,38.723686,0.02604463323553495
CCCCN(C#N)CC,39.7195,38.9347,0.01975855657279083
C#CCCC(C)C=O,39.7195,33.482964,0.15701447495533122
CCCCCCCOO,39.7195,39.89887,0.004515881639774397
CCCCC(=O)OC=O,40.1262,35.129997,0.12451223257078987
CCOC(O)NC(C)C,40.1262,41.119576,0.024756281444250492
CCCCCC(C)C=O,39.1314,40.808464,0.04285724636207673
OCCn1ccnc1,27.7091,29.845528,0.07710202240151365
C#CC(C=O)CCN,27.7091,32.539585,0.17432847380555094
CCN=CCC(O)CO,37.2733,39.112976,0.049356404563554904
CCCC(CC)CC=O,37.2733,41.05251,0.10139186248229508
CCCC1CCN(C)C1,37.2733,37.460434,0.005020590072811866
CCC1C=CC1C=CO,37.2733,35.92414,0.03619639446532016
COc1ncccc1C,25.4833,31.037933,0.21797150877670377
CC1CC(C)C(O)C1C,31.5872,39.56462,0.2525523304275051
CC1(C)CC1CO,31.5872,31.94421,0.01130236464423042
CCCCC(O)C(=O)O,40.9518,38.450924,0.06106877061135931
CC1CC23NCC2CC13,28.2448,32.636677,0.15549328684678512
OC12CC1CC1CC2O1,28.2448,31.453472,0.11360222545216005
CC#CC(C)CC=C=N,37.6224,37.846363,0.005952918145226093
N#Cc1ncncn1,21.9779,21.192402,0.035740362546634284
C#CCC(C#N)CC=O,27.7259,33.72917,0.21652215989128173
CCC1(COC)NCO1,27.7259,37.10865,0.3384110238989368
OCC12CCCC1CC2,27.7259,35.082596,0.2653365923268609
CCC1CCCCC1,40.9351,33.67646,0.1773206791698742
C#CC=C(C)CC=N,40.9351,31.786322,0.22349471138424848
CC(=O)C#CC#CCN,40.9351,34.626137,0.1541211141591163
CCc1cc(ON)on1,40.9351,32.031094,0.21751519851149476
C#CC1=NC(=O)N1,26.9244,21.566877,0.19898391922894082
CNNC1CCCC1N,26.9244,36.42614,0.352904422439979
O=C1N=COC=CN1O,26.9244,26.57766,0.012878296009062592
CC1CC(=NCC=N)O1,31.4705,33.223263,0.05569542228007922
CCCC1C(=O)CC1C,31.4705,37.690216,0.1976363916827862
CCCC1CCCNC1,30.8896,37.518173,0.21458915679624974
CCC1NCN1C(=O)O,30.8896,33.94586,0.0989414500804882
Cc1ncncn1,24.9482,21.12104,0.1534042398153662
CC1NC1CNC(=O)O,29.1259,34.900562,0.19826553982458744
NC1CC2C(=O)C2(O)C1,29.1259,32.93541,0.13079456929737573
CCCC1=CCC1O,29.1259,32.20185,0.10560878431613374
CC1OC2CCCCC12,39.4617,33.22988,0.15792068545903767
CCC1CC1C1CC1C,39.4617,38.991158,0.011924029331268526
CC#CC1NCNC1=O,32.1943,31.13543,0.03289000281651658
CC1C2CC(=N)NC12C,32.9446,35.070786,0.06453821028213838
CCCNCC1OCO1,23.0624,34.896027,0.5131134058609739
OCCCn1cccn1,27.3973,31.737923,0.15843249767155995
O=Cc1ccncc1O,27.3973,27.483768,0.0031560943280821213
O=CC1C2C=C=CC12,25.379,25.03379,0.013602167603967654
C#CC1=CC(=N)CO1,32.2009,26.474615,0.17782996447161722
COCC(C=O)C=O,40.1421,30.424854,0.242071185150641
CC#CC(C)CCCO,40.1421,40.666176,0.013055516335347604
CC1C2OCCC(N)C12,40.1421,34.29436,0.145675958295606
CCCCC(=O)C(C)O,41.5994,40.33989,0.030277130767097968
CCCC(C=O)C(C)O,41.5994,40.24331,0.03259881101659901
C#CC1=CC(=N)N1C,28.3051,28.966768,0.023376291366944767
CCOC1OCO1,28.3051,25.259287,0.10760651329643194
O=C1C=CCN=C=C1O,28.3051,28.590694,0.010089857569492244
CC1C(=N)C(=O)C1C,35.9176,31.07106,0.13493495721696153
C#CCC1CC1OC,35.9176,32.102257,0.1062248932305515
CCCC1CC(C=O)N1,35.9176,35.913063,0.00012631553009092878
CC12C3CCC1OC2C3,24.9826,31.05252,0.24296593436844535
N#Cc1cc(O)co1,24.9826,24.649376,0.013338246798678188
CC12C(=N)CC1C2=O,24.9826,28.486826,0.1402666633173954
CCC1C=CCOC1,24.9826,30.550766,0.22288176535712598
C#CC12C=NN1C2O,24.9826,24.594696,0.015526964970744695
C=CCC(C)C(N)=O,40.8423,34.23266,0.16183323695701596
C=C(CCCC)C(C)N,40.8423,41.892433,0.025711900811264416
CC1CC(N)CNC1O,31.6976,37.56162,0.18499882656515443
COCCC1CC1,26.8079,29.081219,0.08480032824213839
C(=CC1CC1)CC1CN1,26.8079,33.42938,0.24699728473776328
CCC1=C(C=O)CN1,28.0611,29.061249,0.03564182370957929
C#CC1=NC(N)(O)C1,35.8879,30.431791,0.15203198555663636
CCC1=CCCC1C,35.8879,33.494877,0.06668050062633189
CC#CCC1C=CC1,29.9408,29.130001,0.02708006906578198
CCCCNCC=N,29.9408,35.080063,0.171647479900702
OCC12CCCC1CC2,33.2378,34.35833,0.03371251325145523
CCC12CCCC1CC2,33.2378,35.629463,0.07195612212001941
CCCC(C=N)CCO,39.4312,39.87548,0.011267236397965872
C#CC1CCC(CO)O1,39.4312,33.639584,0.14687903011710304
C1CCC2CCN2CC1,26.8371,33.04203,0.2312071846239965
C#CCCC(=O)C#N,26.8371,28.763046,0.07176432120640598
C#CC1CCC(=O)CO1,31.3505,31.524937,0.00556407955297014
C=NC1(C)COCC1N,31.3505,36.042126,0.14965074566288564
NCC12CCC1C(O)C2,31.3505,34.889698,0.11289127856220643
C#CC1CC=NC=CN1,31.3505,31.583706,0.007438666116955363
OCC1NCC2CCC21,23.838,33.625584,0.4105874506536471
CCCc1ccnnc1,34.3005,31.35279,0.08593779004622289
CC#CC(C=N)COC,33.0697,37.24846,0.1263621642260042
C=C1CC(C)OC1O,39.9794,31.026703,0.22393275334648904
CCOCC(=O)C(C)C,39.9794,39.789364,0.00475335144889653
CCC#CC(C)C(C)C,39.9794,42.02385,0.05113757303272909
O=C1C2CC3NOC3C12,21.1529,26.520588,0.2537565970218069
N#CC1N=CN=CN=N1,21.1529,24.365707,0.151884961280058
C1=CC1C1NCCO1,21.1529,26.49222,0.25241550449001127
C#CC1CCOC1=N,38.0081,27.766277,0.2694642112278061
COC12CNC(C)N1C2,39.0301,33.94129,0.13038163342953174
C#CCCC=CC=O,25.9423,30.880264,0.19034412069194184
C1=CC2CC2C2=NN=C12,25.9423,25.501568,0.016988939277698106
CCC1C#CC1OCO,31.9925,34.674423,0.08382974815264321
CCc1ccc(O)cn1,31.9925,31.676243,0.009885353493189314
NCCc1ocnc1O,27.3686,30.908844,0.12935422323906318
COc1cnc(C)nn1,27.3686,30.613483,0.11856227315080338
N#CCCC1=NOC1,24.352,25.938984,0.06516852485365998
C1=CN=C2CCC2C=C1,22.5916,24.753094,0.09567687633821519
Cn1ccoccn1N,22.5916,30.16994,0.33544950107501587
CC1CCCNCC1O,22.2357,37.633537,0.6924826874117058
CC1CC(CCCO)C1,35.5323,39.237923,0.10428884897563716
CCCCNC(C)C=O,35.5323,40.709087,0.1456924367920504
CCC(C)CNC1CO1,35.5323,38.157562,0.0738838255857171
CC1OCC2CCCN21,35.5323,32.566044,0.0834805556139128
COC1CC2CCC1C2,27.714,32.96096,0.18932526478255016
O=CC1CCCN=C1O,27.714,31.88089,0.15035324718835702
