SMILES,des_cv,pred_cv,Err_pred_des
CCc1ncnnc1F,27.9493,27.952244,0.000105327
N=C1NC=CC2CNNC12,30.5769,30.573355,0.000115946
C#CC(C)CCCCCC,42.1943,42.187103,0.000170562
CC(C=O)C(C)OCC=N,40.4573,40.44921,0.000199936
CCCOC(C)COCC,42.1825,42.19125,0.000207428
CC(C)C1=NC1(C)C#N,36.3252,36.316185,0.000248175
CCCC(CCC)CCO,42.2353,42.22474,0.00025005
N=c1nccnnn1,22.7414,22.74877,0.000324068
CCN(CO)C(C)CO,41.2516,41.26853,0.000410452
C#CCNCN(C)CC=O,40.4395,40.422417,0.000422441
CCNC(CC)CC(=O)O,42.1943,42.175194,0.000452815
CCCC(C)CC(C)CC,42.2153,42.236366,0.00049902
CC1C#CC(C)C(=O)C1,33.83,33.848106,0.000535217
CCNC1(C)OCC(C)O1,40.9647,40.942017,0.00055373
N=C1C=COC=CO1,23.046,23.059593,0.000589829
CC(C=O)CC1NC1C,37.0673,37.09072,0.000631854
C#CC1CNOC(=O)C1C,34.3803,34.40293,0.000658261
CC#CCCCC(O)CO,42.0091,42.03826,0.000694169
CCNC(O)C(C)OCC,42.1825,42.211998,0.000699294
CC(C)(C)CCC1(C)CN1,42.0589,42.088867,0.000712505
CCCN(C)C(O)CO,41.2449,41.212635,0.000782278
CCCC1OCC1(C)CO,42.0398,42.006832,0.000784206
C=C(CC(O)CO)NCC,42.1186,42.15246,0.000803877
CCC1(CC=N)CO1,32.2309,32.204586,0.000816421
CC1NCC2CCC1C2,33.0498,33.077843,0.000848499
CCC1=CC1C(C)COO,41.1501,41.114586,0.000863039
CCCN(C)C(O)OCO,42.0747,42.11103,0.000863478
CC(C)OC(C)(N)C=O,39.5177,39.55298,0.000892727
CCCC#CCC=CCO,41.0882,41.125183,0.000900091
CCCC(O)(CC)CCC,42.1943,42.233433,0.000927442
C#CC(C)C1CN1NCC,41.2516,41.29181,0.000974728
CCCN(CC)CNCO,42.1383,42.186165,0.001135899
CC1NOCC1(C#N)C=O,34.7615,34.801212,0.001142422
CC#CC(C)NC(C)C=O,40.5404,40.492714,0.001176261
NCC=C1CC1C1=CO1,32.1677,32.206505,0.001206329
CCCC1CC1C(=O)CC,41.6049,41.65538,0.001213325
COC(C)(CCO)OC,40.7213,40.77089,0.001217773
CCC1=CNC1CC(C)O,41.2516,41.30308,0.001247988
CCC1NCC2(C)CC12,36.7004,36.654198,0.001258905
CCCC1CC12CC2O,38.1941,38.1427,0.001345752
CCNC(N)C(C)C#N,39.2775,39.332645,0.001403995
COCCC1CCCCO1,39.3512,39.406494,0.001405145
CCCC(CC)OCCO,42.1383,42.200233,0.001469766
CC(C)CC(=O)OCC=O,39.0832,39.143867,0.001552265
COCCC(C)CCOC,42.2153,42.149483,0.001559086
CCC12CNC1=C1CC12,32.0377,32.088947,0.001599593
CCCN(C)CCC(C)=O,42.1111,42.178864,0.001609161
CC1C=NN=CN=N1,24.6361,24.59557,0.001645163
CCCC1CCC(C)CC1,42.0398,42.109234,0.001651622
CCCN1CCC(O)C1,37.6371,37.574757,0.001656434
CC1NC2C3CCCC132,32.0653,32.011593,0.00167493
CCOC1CCC1CC.O,41.9044,41.833424,0.001693769
CCCC#CCC(O)C=O,40.4573,40.52691,0.001720552
C#CC#CCCCCCC,41.6049,41.532513,0.001739875
C#CC#CCCCCCC,41.6049,41.532513,0.001739875
C1=NCN2NNNC=12,21.4212,21.38379,0.001746445
COCc1nnco1,25.529,25.573698,0.001750873
CC1C2CCC(O)NC12,34.3803,34.44145,0.001778583
C#CC(CCC)CCC=O,41.7328,41.65824,0.001786574
