SMILES,des_cv,pred_cv,Err_pred_des
CCC1CC(=O)C(O)O1,32.5124,33.699615,0.0365157748586885
C#CCC(=N)C(C)NO,40.6989,37.170925,0.0866847718149419
CCC1CC(COO)O1,38.3857,34.94785,0.0895607147015258
CC#CC(=C=N)C#N,34.7064,29.52232,0.1493695746691915
COc1nncnn1,34.7064,22.912598,0.339816355016654
CC1CCN(C)C(C)C1,39.7592,38.723686,0.0260446332355349
CCCCN(C#N)CC,39.7195,38.9347,0.0197585565727908
CCCCCCCOO,39.7195,39.89887,0.0045158816397743
CCCCC(=O)OC=O,40.1262,35.129997,0.1245122325707898
CCOC(O)NC(C)C,40.1262,41.119576,0.0247562814442504
C#CC(C=O)CCN,27.7091,32.539585,0.1743284738055509
CCN=CCC(O)CO,37.2733,39.112976,0.0493564045635549
CCCC1CCN(C)C1,37.2733,37.460434,0.0050205900728118
CCC1C=CC1C=CO,37.2733,35.92414,0.0361963944653201
CCCCC(O)C(=O)O,40.9518,38.450924,0.0610687706113593
CC1CC23NCC2CC13,28.2448,32.636677,0.1554932868467851
CC#CC(C)CC=C=N,37.6224,37.846363,0.005952918145226
CCC1(COC)NCO1,27.7259,37.10865,0.3384110238989368
C#CC=C(C)CC=N,40.9351,31.786322,0.2234947113842484
CC(=O)C#CC#CCN,40.9351,34.626137,0.1541211141591163
CCc1cc(ON)on1,40.9351,32.031094,0.2175151985114947
C#CC1=NC(=O)N1,26.9244,21.566877,0.1989839192289408
CNNC1CCCC1N,26.9244,36.42614,0.352904422439979
O=C1N=COC=CN1O,26.9244,26.57766,0.0128782960090625
CC1CC(=NCC=N)O1,31.4705,33.223263,0.0556954222800792
CCCC1CCCNC1,30.8896,37.518173,0.2145891567962497
CCC1NCN1C(=O)O,30.8896,33.94586,0.0989414500804882
CC1NC1CNC(=O)O,29.1259,34.900562,0.1982655398245874
NC1CC2C(=O)C2(O)C1,29.1259,32.93541,0.1307945692973757
CCCC1=CCC1O,29.1259,32.20185,0.1056087843161337
CC#CC1NCNC1=O,32.1943,31.13543,0.0328900028165165
CC1C2CC(=N)NC12C,32.9446,35.070786,0.0645382102821383
CCCNCC1OCO1,23.0624,34.896027,0.5131134058609739
O=CC1C2C=C=CC12,25.379,25.03379,0.0136021676039676
C#CC1=CC(=N)CO1,32.2009,26.474615,0.1778299644716172
CC1C2OCCC(N)C12,40.1421,34.29436,0.145675958295606
C#CC1=CC(=N)N1C,28.3051,28.966768,0.0233762913669447
CCOC1OCO1,28.3051,25.259287,0.1076065132964319
O=C1C=CCN=C=C1O,28.3051,28.590694,0.0100898575694922
CC1C(=N)C(=O)C1C,35.9176,31.07106,0.1349349572169615
CCCC1CC(C=O)N1,35.9176,35.913063,0.0001263155300909
N#Cc1cc(O)co1,24.9826,24.649376,0.0133382467986781
CC12C(=N)CC1C2=O,24.9826,28.486826,0.1402666633173954
C#CC12C=NN1C2O,24.9826,24.594696,0.0155269649707446
C=CCC(C)C(N)=O,40.8423,34.23266,0.1618332369570159
C=C(CCCC)C(C)N,40.8423,41.892433,0.0257119008112644
CC1CC(N)CNC1O,31.6976,37.56162,0.1849988265651544
C(=CC1CC1)CC1CN1,26.8079,33.42938,0.2469972847377632
CCC1=C(C=O)CN1,28.0611,29.061249,0.0356418237095792
C#CC1=NC(N)(O)C1,35.8879,30.431791,0.1520319855566363
CC#CCC1C=CC1,29.9408,29.130001,0.0270800690657819
CCCCNCC=N,29.9408,35.080063,0.171647479900702
CCCC(C=N)CCO,39.4312,39.87548,0.0112672363979658
C1CCC2CCN2CC1,26.8371,33.04203,0.2312071846239965
C=NC1(C)COCC1N,31.3505,36.042126,0.1496507456628856
NCC12CCC1C(O)C2,31.3505,34.889698,0.1128912785622064
C#CC1CC=NC=CN1,31.3505,31.583706,0.0074386661169553
OCC1NCC2CCC21,23.838,33.625584,0.4105874506536471
CCCc1ccnnc1,34.3005,31.35279,0.0859377900462228
CC#CC(C=N)COC,33.0697,37.24846,0.1263621642260042
C=C1CC(C)OC1O,39.9794,31.026703,0.223932753346489
O=C1C2CC3NOC3C12,21.1529,26.520588,0.2537565970218069
N#CC1N=CN=CN=N1,21.1529,24.365707,0.151884961280058
C1=CC1C1NCCO1,21.1529,26.49222,0.2524155044900112
COC12CNC(C)N1C2,39.0301,33.94129,0.1303816334295317
C#CCCC=CC=O,25.9423,30.880264,0.1903441206919418
C1=CC2CC2C2=NN=C12,25.9423,25.501568,0.0169889392776981
CCC1C#CC1OCO,31.9925,34.674423,0.0838297481526432
NCCc1ocnc1O,27.3686,30.908844,0.1293542232390631
