SMILES,des_cv,pred_cv
CCc1cc(ON)on1,40.9351,32.031094
CC1CNCC2C3OC123,25.9181,31.105696
OC1CNCC2COC12,25.7755,30.853354
COc1nncnn1,24.3693,22.912598
C1NOC2C13CC1CC123,23.7751,27.975418
CCCC1CC12CC2C,36.035,39.343506
C1=CN=NCC=N1,21.2766,21.062712
N#CC1=C(CO)CN1,25.2336,27.673897
C#CCC#CNOC=O,34.8472,32.064625
CC1CC1NCC1CC1,29.2094,35.612423
CC#CCNC(N)C=O,36.382,36.449116
C#CC1NCNC1C=C,28.5591,32.907784
CCC=C(O)CC=O,33.2418,33.559124
CCC1CCN1C=N,27.2283,31.210396
C#CC1=NC12COC2,26.7347,26.152266
CC#CC(CN)CO,32.8893,38.569725
C#CC1CN(N)C1,28.3001,26.690882
C1CC23CC2CC3N1,23.7274,26.299007
CC1C2OCOC(N)C12,39.7823,32.291782
CCCCNC1(C)CO1,27.1443,39.295586
CC1NOC2OC=C2N1,32.1718,29.479767
CCCC1=C(C=N)C=N1,40.8518,32.819744
C#CC(CCO)C(C)N,36.8431,40.500664
CCCN1N=CC1=O,27.0753,28.659294
C#CCC=CC(=O)OO,37.1088,31.3129
CN1CCCC2CC2C1,21.3746,35.629807
C=CCC1(C)CC(C)C1,40.4999,39.21672
CC1NC=C2OC2CN1,35.8989,31.446056
C#CC1CC(C=C)CO1,38.6725,33.92568
C=NC1(C)COCC1N,31.3505,36.042126
CCCC(CN)OOC,30.9864,39.325695
CCCCC(O)C(=O)O,40.9518,38.450924
COCCCC(=O)CN,33.191,38.132538
CC12C(=N)CC1C2=O,24.9826,28.486826
CC1=CN=NC=NN=N1,25.0537,25.848671
O=CCCC1CC2=C1N2,23.8983,29.104023
CCC#CC(=N)OC#N,32.4133,32.42594
CN1CN=C2C=NC2=N1,26.22,23.899803
CC1OCC2CCCN21,35.5323,32.566044
C#CC1CC(C=N)CO1,33.1782,32.79614
CCCCNC(=N)CO,32.2321,39.214043
C#COC1(C)OCO1,41.7956,28.694489
CC#CC(C)CC=C=N,37.6224,37.846363
O=CC1=NN=NC=CC1,25.5483,26.162025
C#CCCNCC(C)=N,25.0537,38.519375
CCC#CN(CC)CO,39.1604,39.433605
C#CC1N=CC2CCC21,25.9489,30.006283
C=C1CN(C)C(=O)C1O,36.2334,33.036827
O=C1NC2C3CCCC132,21.8134,29.125317
CCCC(C=O)C(C)N,35.1019,41.418556
N=C1C=CC=NCN1,34.1132,23.961586
CC1Cc2ncnnc21,36.8169,27.345194
CC1CNN=C2OC21C,33.7827,31.622108
Cc1nn(N)cc1C=N,33.8945,32.069393
CC(C=N)C(C)CN=N,38.3859,38.343338
CCC1C=NN=CN=N1,23.2294,29.236885
N=C1C=CC(N)=N1,27.6176,24.066294
CC#CC=NC1OC1O,41.7768,32.573196
CC(=O)CC(N)C(C)C,38.0761,41.54554
CC12CCCC1C=CN2,36.8541,34.07
C#CC12C=NN1C2O,24.9826,24.594696
C#Cc1nncnn1,21.4573,22.035973
CCCc1nc(=O)c1=O,36.6329,31.410603
O=C1CC2CC=C1C2,27.4788,26.108437
OC1C=CC=C2C=C2C1,28.5314,29.014584
CC1(C(N)N)NC1C#N,39.7886,35.66459
C#CCC#CNC,29.3236,28.325302
C#CC1C=CNNCC1,37.4819,32.24591
N=C1CNC1CCO,27.3345,30.25126
COC1CC1C1C=CN1,33.3898,33.16331
CC(=O)C1OC(N)C1=O,40.2621,32.58014
C=CCC(=N)COCC,40.9564,37.721558
CCCCC(=N)CCN,40.934,41.751892
C1=CC2=CC=C(C2)N1,25.8204,24.609144
CNCCC(C)NO,25.9489,36.063538
CCC#CC(O)C=NO,36.4689,36.82373
CC(C=O)NC1NC1C,34.0454,36.046677
OCC1C=NC=NN=N1,22.3307,28.49758
CC1C=CC2(C)C3C1C32,38.2162,32.96894
C#CC1=C=NC1CC,33.4139,30.423893
C1=C2CCCOCC2N1,24.5777,30.052376
O=c1cnncnn1,21.7046,21.279127
O=Cc1cccnn1,36.5487,22.860498
C#CC(C)C(=CO)CC,41.8313,40.357136
CC#CC1C=CC1CC,30.3325,36.54466
CCC1CC2C(CN)C12,28.6746,36.892334
OCC1N=CN=CN=N1,27.0996,27.41637
C#CC1OCNC1=CN,36.8757,33.055534
CC1=CN=CN(O)C=C1,34.1707,30.358238
C#CCC1CC1=NO,25.3923,30.479324
C#CC1=NC(=O)C1O,29.1798,25.718615
CCCC1=CNC1,27.8642,24.412098
CCCC1CCN(C)C1,37.2733,37.460434
COC1C=NCCO1,22.2337,27.429367
CCCNCC1OCO1,23.0624,34.896027
CC1=NC(C)NC1,23.1735,26.622036
N#CC12CC1OO2,21.7997,21.141562
C(=CC1CC1)CC1CN1,26.8079,33.42938
C#CCC(CN)CNN,22.8681,37.726265
CC#CC(C=O)OC#N,37.3476,32.689053
NCC12CCC1C(O)C2,31.3505,34.889698
C=C1C(C)=CC1CC=O,38.7805,33.951797
CCCC1=CCC1O,29.1259,32.20185
CC1OCC=NC1C=O,32.9972,30.983871
CC1=Cc2nncnc21,25.8204,26.92541
N=C1C=C(N)C(CO)=C1,23.1064,32.650356
CC1CNC2CC2CO1,32.6886,33.265137
OCCC12CCC1CN2,22.4275,32.769325
OC1=CC2C3C=C3C12,31.8458,25.826502
CC#CC(O)C(C)=N,42.0365,33.5749
CCC1C=CN=CC=N1,33.1782,30.730925
C#CCC=CNC1CO1,33.0826,33.315826
CCCC1NCC1C,34.8472,35.174698
CCC1=C(OC=O)C1,41.5279,28.770594
C#CCC1CC1=CO,25.9247,31.365776
CCC1CC2NC12,32.6886,27.156252
CCC1C2CNC1C2=O,28.3351,31.964184
C#CC1=CNCCCO1,26.7259,32.101334
N#CC1(C=N)CN1,25.581,22.907457
CC1C=CC=COC1C,37.7035,34.092094
C#CC1CCC(=O)C1=N,27.6831,31.34441
CC1(O)OC(=O)C1C=O,28.7772,32.749813
CC12COC1CN=CN2,23.4607,30.95449
CC1CC12C1C=CN12,41.5075,28.538147
O=C1NCC2NNC2N1,22.2311,27.818846
CCC1CN=C1C1CC1,36.8757,34.271103
CCCC1=CC(=O)C1N,39.7315,34.95925
CC#CN=C=NNC=O,32.8893,30.347633
C=C1OCC2OCC12C,39.3009,31.937416
O=CC1C2C=C=CC12,25.379,25.03379
C#CC1=CNCN1O,30.7511,26.956518
O=Cc1cccnn1,22.8961,22.860498
OCCC1C2=C=COC21,24.6603,30.895725
CC1CC2NCC12,21.088,25.359243
CC1=CN=COCN1,26.7259,26.281769
O=C1C2C3CC(O3)C12,24.5224,22.468016
C#CC1C2C=CCNC12,27.6176,31.485744
CCC1CC(=O)CCN1,36.0385,35.05696
NCc1ncncn1,30.4983,28.19792
COC1C=NC(CO)O1,21.068,32.08419
C=C1C(C)=NC(O)C1N,39.9557,34.868885
C=CC(C)(C)CC(C)C,37.5525,42.183823
CCCCC1=CC2=CC21,33.453,32.883873
N#CC1NC1OCC=O,30.0257,29.804016
C=CC(C=O)C=O,33.2184,25.65369
C#CC1=CC(=N)N1C,28.3051,28.966768
CC#CCC(N)CO,31.4176,35.252174
COCCC(=N)C(C)=O,35.7924,36.92383
CC1=COC(=N)CC1C,41.0192,33.506977
C=CCC(CCC)OO,39.1324,38.595963
CC(CN)COC1CO1,29.5724,37.10492
CCC(C#N)C#CC=N,32.1107,34.37559
O=CC1=CCC2CN12,21.691,24.499077
O=CC1CCCC1=O,33.0729,27.776272
NCc1cn(O)cc1F,24.8887,31.955133
CCCCCOCOO,33.6932,37.306576
C=C1CC1C#CC,27.3473,27.319263
CCC1CC(=O)CCN1,34.7887,35.05696
C#CCN=CC(=O)CO,35.4284,33.763542
C1CN2CC3CC2C13,22.687,24.864336
OCCNC12CCC1C2,27.6147,34.749054
C1CNCC2OC2NC1,21.372,32.430588
COc1nncnn1,34.7064,22.912598
C#CC1=NC(N)(O)C1,35.8879,30.431791
C1=COC2CCC2C1,23.5433,26.257917
CCCC1N2CC12OC,37.8072,37.086
C#CC(C=C)CC(C)=O,35.3059,37.36353
CCCC=CCC(C)=O,39.8425,40.165302
C#CC1CCC1COO,31.9532,34.20078
OCCCC1NCC1O,28.2986,35.703285
CC12CC=CCC1CN2,33.8284,33.770752
COC1CCCN1,32.0029,26.639591
CCC1(COC)NCO1,27.7259,37.10865
C1=CC2CN=CC2C1,22.3412,24.49848
CC1NCCC1C(N)=O,41.5254,35.357777
C#CC1CC1NC,32.6435,28.770855
C#Cc1cc(O)co1,23.4607,26.33935
N#CC1N=CN=CN=N1,23.9532,24.365934
C=C1NCC1C#CCC,28.6746,35.37935
C#CC12CNC1C2,32.3331,23.777052
CC1C2CC3NNC3C12,30.2966,30.304874
CCCCN=CN,31.0301,30.699474
C1=CC2=CCC2=N1,24.8625,21.380041
CN=C1N=NN=NC1=O,30.0257,28.274498
CC12C=CC1CC2C=O,33.8986,31.949963
CC1NC23CCN2CC13,26.22,31.620327
CC#CC=CCC(=O)O,36.0261,35.381332
CN1C(=O)N=C1O,29.5231,22.413502
CC#CC(=C=N)C#N,34.7064,29.52232
O=CCC=CNNC=O,33.0823,31.967033
C=CCC(C=O)CCC,33.4384,38.770794
CC(NN)N1CC1C=O,29.3512,33.842228
OCNC1(O)CC=N1,28.3351,29.33343
CC1NC1CNC(=O)O,29.1259,34.900562
CC1C2CC3COC3N12,34.5055,30.843342
CCC1=C(N)CC=C1,36.8431,31.158009
COCC1=CN1C,29.6861,26.873323
C1CCN2C3CC(C1)C32,27.5707,30.3559
C1=CCN=CN=C1,26.6084,21.257462
O=CC1=NC2CCC1C2,26.847,29.19577
CC1C2CC(=N)NC12C,32.9446,35.070786
C#CCCNC1OC1=N,27.9946,32.165024
CCC1C#CCC1C=O,30.7511,33.662766
CCCC(CO)C(C)=N,34.1288,40.94005
C=CCC(C)CCCC,35.5212,41.88965
C#CC1CC(=C)N1,28.7125,26.241135
C=CC(CC)C(N)=O,33.8945,34.282494
CC12C=NCC1CC2O,28.5591,32.966908
CCC1N=CC=CN=N1,34.2985,29.7644
C#CC#CC1=CC1,28.0714,22.241714
CCC1NC1CC1CO1,39.7368,35.451927
COc1nncn1O,23.1088,25.472235
C1=NC=NN2N=C2CO1,23.1702,23.74909
CCC1=C2COC(O)C12,33.1782,32.123898
COCC1NCC1(C)C,30.8336,39.226418
C#CC1=CC(=N)CO1,32.2009,26.474615
N#Cc1cc(O)co1,24.9826,24.649376
CCNC(=N)C=N,26.605,27.957863
O=CCNCC(O)CO,30.0257,37.04753
CCC1CC(OO)C1,21.617,32.252163
COC1C2=C(C#N)C21,27.7935,25.508633
N#CC1=CNCCN1,24.5777,26.922812
C#CC1CC=NC=CN1,31.3505,31.583706
CCCCCC(=N)C=O,31.0939,37.677826
C1=NC=NC=C2C=CC=12,21.7997,22.906063
CCC1C=CN1C,33.2156,27.705173
C#CC1=CC1O,36.8531,22.582043
C#CC(C=C=O)CCO,33.8284,35.96902
CCCCNCC=N,29.9408,35.080063
COCC=C=CC=O,38.0761,33.631424
C#CC1CNCOC1=N,34.1805,31.094349
CCC1CC(COO)C1,38.0761,36.557568
O=c1[nH]c(F)cn1CO,24.134,29.940094
C#CC1CCCNC1,29.9243,30.50798
CN1CC2CNC(C1)N2,25.9907,33.49679
CC(C)(CN)CC=N,41.9793,37.50042
CCCC1NCC1N,26.8039,34.442825
CCC1CC(=N)C1,34.2559,28.281942
N=C1CCC(=NNN)N1,23.4607,30.748947
CCCCN(CC)CC,41.8232,42.13343
C#CC(N)C(C)CCC,38.0383,41.82565
CCCOC(O)C(C)=O,41.6997,37.920197
OCCOC1=CCNN1,26.0875,31.30297
CCCC1=C(OC)N1,29.6407,33.857456
O=C1N=COC=CN1O,26.9244,26.57766
C#CCCC=CC=O,25.9423,30.880264
C1COCCNN1,21.4851,23.470062
C#CC1CCC(=C)C1C,37.7035,35.446003
CC1=NN=C1OC1CC1,39.2411,30.642147
C#COC(=COC)OC,39.3148,35.311092
CC#CC=CC(=O)CO,36.6473,35.06309
CC1CNC2CCC2O1,27.0861,31.985882
CCC1CCC(=O)C1N,31.5012,36.30497
N=C1NC2NC2C2OC12,24.0965,27.216255
CCCC1CCNC1O,30.7511,36.801964
C#CC1OOC1=O,31.013,21.288967
C=CCC(C=C=N)CC,38.6737,38.297436
O=CC1C=NC=NN=N1,21.617,25.923668
C#CCNC(=O)CN=O,25.9247,32.097916
C#CCC#CC(=N)O,36.2511,29.076187
C1=CC2CNC2=CC1,22.7796,25.752676
C=C(C#N)C#CCCC,31.2855,34.876144
CC1CC(=NCC=N)O1,31.4705,33.223263
CCC1CC(COO)O1,38.3857,34.94785
CCCC(N)NN,21.372,33.360497
CC#CC(C=O)CN,31.9643,32.8752
CC(C#CCNN)C=N,33.8052,35.829758
