SMILES,des_cv,pred_cv,Err_pred_des
CC1CCN(C)C1(C)C,32.5124,40.445267,0.243995113360835
CC(C)CCOOC#N,40.6989,36.286514,0.108415355642866
CN=C(C)C#CNC,40.6989,33.323433,0.1812203051590269
C#CCC1(C)CC1=O,34.7064,31.0451,0.10549353265038
CCC1CC(N)C(C)N1,39.7195,40.305534,0.0147543237652279
CC(=N)CCCC=O,40.1262,33.001358,0.1775608447292152
CC1=C2CN2C2OC2O1,27.7091,28.470089,0.0274635032801583
C1=C2CC3CCC1N23,27.7091,23.165287,0.163982698181382
N=CCNCC1CCN1,25.4833,33.24181,0.3044546760023507
CC1CNCC(O)O1,25.4833,30.555515,0.1990407556833942
CC#CCC(NC)NN,25.4833,38.260536,0.5013964515524935
C#CC(CCC)CN=C,31.5872,38.678032,0.2244843456015955
C#CC(C)CN1CO1,31.5872,30.863878,0.0228992044207124
N#CC1=NC(=O)C=N1,28.2448,21.804388,0.22802115623886
CCC1=NN=C1CC=O,28.2448,31.420052,0.1124189788813172
C#CCN(C#C)CC#N,28.2448,38.326637,0.3569448984615364
CC(=CNN)C(C)(C)N,37.6224,41.506668,0.1032434956520666
O=CC1NCCN2OC12,21.9779,28.50667,0.2970606836034809
O=CCC1=COC1=O,26.9244,25.040073,0.0699858346044706
OC1C2CC=NCC1C2,26.9244,30.575565,0.1356080483923417
Cc1ncc(ON)cn1,26.9244,30.260641,0.1239114371359236
C#CC1=CC(CO)C1=O,31.4705,31.233978,0.0075156647817996
CC1NNC(=N)C1C,31.4705,30.669388,0.0254559725017775
C#CC1CCC(CO)N1,29.1259,35.00426,0.201825901237239
C=C(C)C(C)C(C)C,39.4617,38.761185,0.0177517772325365
Cc1nnncnc1=N,32.9446,27.187527,0.174750134987802
CC1N=CC=NN=CO1,27.3973,28.558119,0.0423698255007036
C1=COCC2CC=C2N1,25.379,29.149399,0.1485637260613474
CCN(C=O)NC1CN1,40.1421,35.051228,0.1268212781697998
C#CC#CC(=N)C#N,40.1421,26.728565,0.3341512971153862
CCC(N)C(=O)C=N,41.5994,33.0021,0.2066688005549753
CC1CCNCC1C,28.3051,33.601242,0.1871091098575764
OCCC1CCC2=CN21,28.3051,32.501877,0.148269281191541
C#CC#CC(C#C)NN,35.9176,34.530968,0.0386059282245377
C#CCNCC(C)C=O,35.9176,37.44871,0.0426284438621642
C=C1CC2C(C)=NC2O1,35.9176,30.168755,0.160056502170615
N=CC1=CC=CC1C=O,24.9826,29.609917,0.1852215817013328
N=CN=CC1CC1=N,24.9826,26.917809,0.0774622550381002
Cc1ncnocco1,24.9826,27.089314,0.0843272320367006
