SMILES,des_cv,pred_cv
C#CC(C)NCC=CO,36.6951,38.711273
C1=NC=NN=NC=N1,21.4072,21.30488
CCC1=NN=C1CC=O,28.2448,31.420052
CC1CCNCC1C,28.3051,33.601242
C#CC1CC1CC=N,25.4929,25.952229
CC#CNCCC1NO1,31.0939,35.002438
C#CC1NC(C#C)N1,34.9093,28.586102
C#CCNNC(C)=N,28.722,31.96008
CC1=NC2CNCC12,27.5615,27.36108
C1=COCC2CC=C2N1,25.379,29.149399
CC(=N)N(C)CC(N)=O,39.9042,37.389
N#CCNC1CNCO1,21.4436,30.542698
N=CC1N=CC=C1O,28.0786,25.801659
N=CC12CC(O)CC1C2,31.9021,32.73157
CC(=N)C(C)CO,40.8423,31.08157
N#CC1CC1=N,21.5437,21.046856
CC(=N)C1CC(=O)N1,37.733,28.989258
CCCCC1(N)OC1C,39.1604,40.232674
C#CC(CCC)CCN,33.5081,41.18249
CCCOC1(O)CC1,23.6549,33.965775
C#CC(=C)C#CC,39.8874,28.545866
C=C(C)NCC(C)=CC,42.1124,41.19449
N#CC12CC(N1)N2,29.2094,21.716251
N#CC1C2CNC1O2,22.3307,24.367462
CC1(OO)CCN1CO,41.5254,35.807957
C#CCNCC(C)=O,34.9094,32.367527
O=C1NCC2NNCC12,23.221,27.983469
CC1=NN=C2ON=CC12,21.1529,24.477568
CCC1=CC2CN2CN1,38.5592,32.68317
CC(=N)C1C(O)C1CO,37.7035,35.667385
N=CCNCC1CCN1,25.4833,33.24181
CC(N)C#CNCC=O,35.8989,36.702736
CC(C)(CN)CNN,41.3225,36.64061
O=C1C=CCNC2CC12,26.2263,29.532654
C#CC(CO)CCCN,37.8609,40.005234
CC1c2cccn21,23.1229,23.663187
C#CCn1occ1C,30.2966,29.77568
CC1=CNCC1(O)C=O,38.6737,32.858074
CC1CNC(=N)C2CC12,23.8325,32.80665
C#CC#CC1C(=N)C1O,33.191,31.863369
OC12NC3CC1C2N3,23.8983,25.247597
N=C1CCC(CO)CN1,23.7274,34.18685
CCCC1=CC(C#N)=C1,23.8144,32.08619
CC(C)CCOOC#N,40.6989,36.286514
CC1=C(C=O)C=CC1=O,26.605,29.743055
C#CC#CC(=N)C#N,39.6219,26.9191
C#CC#CCOCC=C,36.0724,34.454308
CC1N=NC=NC=CO1,22.3786,27.771069
N#CC#CC1CC=NC1,28.3083,28.997208
C#CCNC=O.N,25.2878,28.57057
CC(CN)COCC=O,40.109,38.431202
CC12CC1NN1CC12,25.9181,26.649446
CC12NCC1C(CO)O2,31.0301,33.183887
CCCC(C#N)C(C)N,38.094,40.061638
CC12NNC1C2NOO,34.9093,31.67609
N=CC1CCN2CC2C1,26.6195,31.592314
CC1=NCCCC(=O)N1,33.1993,32.43842
C1=C2CCC(CCN1)C2,27.9629,31.596273
CCCCNC(O)NC,29.2094,41.270798
C=C1COC(C(C)C)O1,37.733,35.66829
C1=COC2OC=C2C=C1,21.4072,26.404701
N=C1Oc2nncn21,26.9163,22.084272
C#CC#CCOC=CO,34.1132,33.56246
CCCC=CC1C=C1N,41.9321,37.374096
C#CCNCC1C=CO1,27.8642,31.793034
OC1CNC12CCC2,24.2463,29.826742
CC1OC1=C1CC1,27.0861,25.293043
Cc1c2nc(C=N)n1-2,22.3786,25.161783
CC1CNC2=CNC21,29.3512,27.658226
C#CCC(CO)NN,30.8043,32.405064
CC1=CN=CC(O)=CN1,27.1443,30.471
CC(C#N)C#CNN,40.5482,31.226555
NC1=CC=NC(N)N=C1,24.3738,30.798723
CC1(O)CC1C1C2OC21,27.3473,31.874332
CCCCNCC(C)=O,36.0385,40.290607
C=C1CC(C#CC)C1C,40.1578,36.79596
CC(=O)C1C=C1C=O,37.8516,28.864985
Cc1ncn2c1C21CO1,25.581,26.852924
CC1C2CNC1C2C=O,33.3898,31.90699
C#CCNCC(N)CO,32.0192,39.107605
O=CCC1=COC1=O,26.9244,25.040073
CCC1(C)CNC1CO,32.2607,39.52217
C1CC2=NC3NC3C2C1,29.5231,30.020252
CCC=NC(=N)C=O,32.9873,30.262815
N#CC1NCC1=N,21.8611,22.271364
OCCC1CC2CCN12,23.838,33.18383
N#CC1CC(N)=CCN1,27.3242,32.445145
C#CC#CC(C#C)NC,39.2495,36.34055
CC12CCCC1(O)C2=N,36.0723,35.37983
CCCC(C)(C=N)CO,41.3225,41.086952
CCN=NC1CN1C=O,33.0826,32.383247
CCC1(C)C(=O)C1O,41.3225,33.48981
CC#CCC(NC)NN,25.4833,38.260536
CCC(N)CC(=N)C=O,38.3424,37.767258
CC1=CC(C)C2CC12N,34.8679,36.70264
N=C1CC(N)CO1,23.965,24.604015
CONCC(C#N)CO,29.8684,36.182972
CC1OC1(O)CCC#N,32.1107,35.03834
CC(=O)C(N)C(N)=O,41.3225,32.235718
C#CCNCCC1CN1,30.3325,36.48387
N#CC1CCC(=N)C1,32.8001,27.195726
C#CC#CC(C)COO,36.2334,35.54943
CC(=N)CCC1(C)CN1,38.142,37.77585
CCC1NCC2CC21C,33.6569,36.5162
CCC(N)C(C)C1CC1,38.0761,41.657703
COC1COC(C)CN1,32.9972,35.612747
C=C1OCC1(C)CNO,39.9066,36.7343
O=CC1=NC(=O)N=N1,22.1133,21.924864
CC1=CC2=NC2=CC1C,26.7259,30.685211
C1CNC2OC3C(C1)C23,26.5485,29.387184
C#CC(C)CC(N)CO,37.3113,41.05806
CC#CC(=N)COC,39.1604,32.90905
N#CC1C(=O)C1C=O,30.2534,25.734388
CC1C#CC(N)N1CO,40.1534,35.344364
CN1N=CC=C(N)N=N1,23.1229,29.472567
N=C1CNC(=N)NC1,32.4133,27.30323
C#CC1CC1NC=CO,29.3236,35.244537
CCC1=CCN(C)C1O,31.3505,36.182827
N=CC1CC2CC3C1C23,24.0539,29.085133
CC#CCC(=N)C=NO,32.5542,35.730362
C#CC#CC1CC1=O,30.6026,26.940723
CCC(=O)CC(N)CC,41.3225,41.196384
CC1CC=CC2=NN=C21,25.5483,30.011393
C#CC1CCC(CN)C1,39.7368,36.588135
N=CN=CC1CC1=N,24.9826,26.917809
O=CC1=CCCN=CC1,25.2878,30.748024
COC1OC1(C#N)CN,31.3505,34.009857
C=C(C)CCC(=N)N,34.8198,35.151363
C#CCNCC(C)=O,36.0385,32.742615
C#CCNCC(C)CO,40.8518,40.182335
C#CC1CCC(C)CN1,33.1618,36.460876
C#CC#CC=CC=O,33.2156,27.844872
N=C1CC2OCC3C1C23,28.722,27.274588
C1=CNC2CNCC2C1,22.2357,30.713337
CC1CN2OC(O2)C1C,36.2795,31.361252
C=C(C)N(C)CC#CO,41.8421,38.75344
C#CC1CCC(=N)C1,36.8757,29.297005
CCC=C1C=CN=C1O,32.2832,31.578577
O=C1OC2OC1C2O,21.7852,22.945908
C#CC=CCCC(C)=O,34.073,37.34337
