SMILES,des_cv,pred_cv,Err_pred_des
COCC1OCCC1(C)O,35.2572,39.764053,0.12782788606941461
CCC1(CC)NCCO1,35.2572,37.354424,0.0594835529466101
CCCN1CCC2COC21,35.2572,37.099422,0.05225095738839122
CCCN1CC1CC(N)=O,35.2572,40.79093,0.15695323796728497
CCCC1CC(C)CN1,35.2572,38.83883,0.10158574817419837
COCC1=CC2OC12C,35.2572,34.158783,0.031154403668346396
CCC1(CNO)CC1C,35.2572,40.147903,0.13871502678553077
CCC1CCNCOCC1,35.2572,40.301983,0.14308518202349235
CCCC(CCO)CCO,35.2572,42.20112,0.1969503667119988
CCC1(N)CCCC1=O,35.2572,36.481186,0.03471591371651578
CCC1(C)CC1(C)C,35.2572,38.28139,0.08577513653378122
CCC(O)C#CC(C)C,35.2572,41.397743,0.174164233833023
C#CC#CCC(O)COC,35.2572,40.512177,0.1490469042825828
CCC12CC1CC1CC12,35.2572,34.203728,0.029879635303768557
CCCC1CC(C=O)C1C,35.2572,41.133778,0.16667737705796848
CCC12CCCCC1CC2,35.2572,39.71987,0.12657475695733345
C#Cc1occc1O,35.2572,26.023853,0.2618854219279479
COCCCCCC=O,35.2572,39.229347,0.11266201595713525
CCCC1CC12CC2=O,35.2572,35.88124,0.017699671123247596
CC12CCCC1CC2CO,35.2572,40.441856,0.14705241437996627
CCCC1=CCOCCC1,35.2572,40.017082,0.13500454415992966
CCCC#CC(CO)CO,35.2572,41.957645,0.19004474025900436
CCNCC(CN)CO,35.2572,41.427017,0.17499453195131962
CCCC(CC)NCCO,35.2572,42.164963,0.19592488253618243
CCCC1OC1NC=O,35.2572,35.295963,0.0010994431592275676
C#CC1CCOC1NCC,35.2572,39.344006,0.11591407101859477
N#CCNNNC1CC1O,35.2572,33.10155,0.061140673226796075
CN(C)CC(O)C(N)=O,35.2572,38.39215,0.08891661501498284
CCC#CC(C)CCC,39.4228,40.98973,0.03974681744982434
CCC1CC1C1CC1C,39.4228,38.991333,0.010944605461496958
CCC1=CCC(C)C1C,39.4228,38.73712,0.017392940581814387
C#CC(O)CC(O)CC,39.4228,39.771477,0.008844545430701687
C#CC(COC)OCCO,39.4228,41.241943,0.046144448374417786
CC(C=O)OC(C)(C)C,39.4228,40.760002,0.03391951196339343
CCCC1CCC1COC,39.4228,41.673553,0.05709268410150655
CCCC1OC(N)CC1C,39.4228,41.536522,0.053616737309909276
CCCCC1C2OC12C,39.4228,37.08162,0.059386465124361784
COC1(C)C(C)C1C,39.4228,36.066154,0.08514477713453975
C#CC(N)C(C)CCC,39.4228,41.89111,0.06261121651817557
CCCC1COC1COC,39.4228,40.765556,0.03406039995761885
C#CCCCCC1CC1,39.4228,37.903236,0.03854529893462275
CC(C)CC(C)(O)CO,39.4228,42.182655,0.0700065782864904
CCNC1OC1(C)C#N,39.4228,36.023445,0.08622814388134457
CCC1(C)CC(C)C1O,39.4228,41.125565,0.04319238042948015
COCC(C)C(O)C=O,39.4228,37.855274,0.03976190934080149
