SMILES,des_cv,pred_cv,Err_pred_des
CCC12CCC1CC2CO,48.7616,41.795284,0.1428647896861417
CCCC1CCCCC(O)C1,48.7616,45.716488,0.0624489786118281
CCNN1NCCCC1C=O,48.7616,44.316277,0.09116442958612991
CCC1OC(C)CC1O,48.7616,39.533478,0.18924978296029818
CCCC(C)CC(C)C,48.7616,45.695755,0.0628741672774722
CCNC1CC2(C)CC12,48.7616,40.399536,0.17148870970574184
C.CCCC(O)CC,48.7616,41.68567,0.14511277428729782
CCC1CCCC1(C)C#N,48.7616,43.356277,0.1108520338581935
CCCC(C)C(O)OCC,48.7616,47.24595,0.031082885067267994
C#CCCCCC1CC1,48.7616,39.867836,0.18239278451619398
CCC1(COC)CC1O,48.7616,40.86235,0.1619973408611041
CCC1NCCOCCC1C,48.7616,46.04738,0.05566309267868443
CC#CCNC(=N)OC,48.7616,39.028126,0.1996135122116696
COCC#CCOCOC,48.7616,42.007248,0.13851785165366423
CCCC1OCC(O)C1C,48.7616,42.57032,0.12697040028640302
C#CCNCCCOCCC,48.7616,47.917686,0.017306928763569235
C.CCCC(C)CO,48.7616,41.80635,0.14263783985743267
CCCC1COC1(C)CO,48.7616,43.01068,0.11793950255234141
C#CC#CCC(C)CC,48.7616,41.283497,0.15336049562177098
CCC1CCOC1CC(C)O,48.7616,46.748585,0.04128279737919897
CCCC(NCC)NCC=O,48.7616,49.21753,0.009350170972137884
CC1CNOC1C(O)C1CO1,48.7616,42.741207,0.12346585996352184
CCNC1OC1CC(O)O,48.7616,43.240067,0.11323528087018656
C#CC(C)C#CCCN,48.7616,40.44342,0.17058873354942725
CCC1NCNC(O)C1C,48.7616,44.270775,0.09209757593457572
C.CCCCC(C)COC,48.7616,49.068817,0.006300390854112121
C=CCC1CC(CCC)N1,48.7616,43.858383,0.10055487968584016
CCCC#CC(=O)CCC,48.7616,43.81885,0.10136559360342433
CCCC1(C)CCC1NCC,48.7616,49.682495,0.01888566243083694
CCCC(C#N)OC(N)=O,48.7616,41.728493,0.14423454651167303
CC(C#N)C1OC(O)C1N,48.7616,39.993187,0.17982209462602555
CCC1=CCCCC1CC=O,48.7616,43.72467,0.10329705321080013
CCC1CC(O)CC1O,48.7616,39.776707,0.1842616588553977
CCCC#CC(C)=CC=CO,48.7616,45.32011,0.07057786616835951
C#CC(N)(C#N)CCC,48.7616,40.683487,0.16566546342867008
CCCC1(OC)CC1C,48.7616,42.13165,0.13596664142821435
CCCCCCCC1CO1,48.7616,44.681995,0.08366428927997231
COCCNCC1CCC1C,48.7616,46.77964,0.04064591404396277
CCNC1=CC1CCCO,48.7616,44.058067,0.09645976912617013
C#CC#CCC(O)CO,48.7616,39.153786,0.19703648556309872
C#CC(CCN)CCO,48.7616,42.025925,0.13813482981245107
CCCC(C#N)CC=N,48.7616,39.10283,0.19808150307840214
C#CCNCC(C)CC,48.7616,42.51855,0.12803208112935727
CC(=O)C(N)CC(C)C,48.7616,43.52363,0.10742001421480674
C#CC1CCCC(C)CN1,48.7616,42.556313,0.12725766666731292
CCCC#CC(O)CCO,48.7616,44.265152,0.09221288929118279
CCCC(CCOC)COC,48.7616,50.764458,0.04107448694539796
COCC#CCC(C)O,48.7616,41.17993,0.15548440492877594
C#CC(C)(C)CNCC,48.7616,43.3283,0.11142578430416111
CCCCC1CC(CC)C1,48.7616,45.90004,0.05868470942603275
C#CC#CCC(O)CCC,48.7616,43.446075,0.10901046234222987
CCNN=NNCCC(C)O,48.7616,45.893967,0.05880925410969521
CC(C)CC(=O)CCCC#N,48.7616,46.539772,0.04556511612228875
C=C(O)C(C)=CCC,48.7616,39.50041,0.18992797257252797
CCCC#CCC(=O)CC,48.7616,43.60835,0.1056825689387644
C#CC#CC(CC)CCO,48.7616,43.25463,0.11293659267783528
COCC(CCO)CCO,48.7616,45.177296,0.07350670025564272
C#CC#CCC1CCCC1,48.7616,40.158165,0.17643873502864257
COCC#CCCC(C)C,48.7616,44.507523,0.0872423672929557
CCC1(C)CCCC1O,48.7616,41.426437,0.1504290798921757
CCC1(COC)CC1O,48.7616,40.86235,0.1619973408611041
CC1CCCC1(C)C(N)O,48.7616,45.95404,0.05757726310572769
CC(C#CCC=O)CCO,48.7616,43.02845,0.11757509982840944
CCC1CC1=NCCO,48.7616,39.56221,0.188660542660458
C#CC1CNCC(=O)C1N,48.7616,39.368828,0.19262641464135266
CC(C)(C)CC(=O)O,48.7616,39.37686,0.19246165892288966
CCC1=CCCC(C)CC1,48.7616,43.589,0.10607935953897543
CC(=N)COCC(C)C,48.7616,42.716293,0.12397679044656172
CCOC1CC1CCC1CC1,48.7616,45.369884,0.06955710044447279
CCCC=CCCCCCO,48.7616,49.004837,0.0049882907068843334
CCCC#CC(=O)CC=O,48.7616,40.953766,0.16012259915300925
CCC1CCCC1CC#N,48.7616,41.379166,0.1513985256961613
CCC(CC)C1CC1C,48.7616,42.916954,0.11986165260107662
C#CC#CCCCCCC,48.7616,44.703434,0.08322462777106342
CC1COCCC(=O)C1O,48.7616,40.418575,0.17109825586393324
C#CC(N)CNCC(N)C=O,48.7616,46.600502,0.044319669285664234
C#CCC(C#CCC=O)N=O,48.7616,41.316254,0.15268872099952885
CCCN(C)CCC=O,48.7616,42.14421,0.135709024818101
CCC1=CC1CC(=N)N,48.7616,39.34347,0.1931464199882775
CCCC(O)C(CC)OC,48.7616,46.603516,0.044257866333344296
CCC1=CCC1CCO,48.7616,39.518097,0.1895652127118855
CCC1(C=N)CC(O)CN1,48.7616,42.69155,0.1244842005082669
CCCCC(CCC)CCN,48.7616,50.895256,0.04375689153925358
C#CC#CCCC(C)CO,48.7616,43.305065,0.11190229288970634
CCC(C)C(C)COC,48.7616,44.184948,0.09385770837033043
CC1NCCC1(C)C1OCO1,48.7616,43.55252,0.10682748818838751
CCCC1CC(CC=N)C1C,48.7616,45.88257,0.059043010086317946
C#CC1OCC1CCCC,48.7616,42.435173,0.12974198888740388
CCCN1CC2CCC1O2,48.7616,39.18139,0.1964704018124822
CCC(CO)C1CC(=O)C1,48.7616,42.527794,0.12784252599838106
CC1CC2CC(CC=O)C12,48.7616,40.34796,0.1725464007378501
C#CCCCCC(O)CCO,48.7616,48.757065,9.300721600734772e-05
CCCC(C)C(C)CCC,48.7616,50.19835,0.029464763236305536
CCCC1CCCC(C)CO1,48.7616,45.211624,0.07280269422029197
C#CC(O)C#CCCC,48.7616,40.704994,0.1652243937512273
CCCC1CCCC1CC,48.7616,49.69225,0.019085700594231973
CCCC1CCCCC(O)C1,48.7616,45.716488,0.0624489786118281
CCCC(CC#N)CC#N,48.7616,41.938454,0.1399286800614335
CCN1CC1CCCC(C)O,48.7616,50.21875,0.029883145754035934
CCCN(CO)CCOC,48.7616,44.84413,0.0803392122135746
COCC#CCOCO,48.7616,40.255257,0.17444758472174765
CC#CCCC1(O)CC1,48.7616,39.76557,0.1844900168526406
CCCC1CCCC2CC2C1,48.7616,44.601868,0.08530754372741566
CCCC1CCCC(O)C1,48.7616,43.098953,0.11612922367046383
CCC1C=CC2CC12C1CO1,48.7616,41.92449,0.1402150076633208
