SMILES,DFT_cv
C#CCC(C)CCCC,42
CCN1CCCC(C)NN1,42.007
CNC1CC1CCCC=O,42.009
O=CC=CCCCCCO,42.011
CCC1COC(O)C1CC,42.012
CC(CN)C(C)(C)C=O,42.014
CCCCC(C)(C)OO,42.017
CC(=O)C1CC1CCCO,42.02
CCN(C)OCOCC=O,42.036
C#CCCCC1NCC1C,42.045
CC(CCO)NN1CCN1,42.046
C#CCC(COC)C1CC1,42.046
C#CCCCCC1CCC1,42.046
C#CC(C)C(C)CCC,42.047
CC(C)CCC(O)CO,42.057
CCC(C)C(C)CN,42.071
 COCC(C)C(F)(F)F,42.071
CCC(C)CCC(C)OO,42.071
CCC(C)CN(C)C,42.071
CC(=O)CCCCCOO,42.071
CC(C=O)CCCCC=O,42.075
C#CCCOCC1CC1C,42.077
OCCCCCC1=CCC1,42.077
CCCCOCCC(=O)O,42.079
CCCCC1OCC1OC,42.084
CCC(C)COCNC,42.096
CCCCCCCC(C)=O,42.102
CNCCCCN(C)N,42.104
CC1CCCNNNC1C,42.105
CN(COO)C(C)(C)O,42.11
CCOOCC(C)CC,42.114
CCCN(C)NCNC,42.114
C#CCCCC(C)C1CO1,42.117
CC(O)C(C)N(C)C=N,42.119
COCC(CO)CCC=O,42.121
C#CCCCC(C)CC,42.124
CCC1COC(C)C1CO,42.124
CCCC(CO)CCO,42.125
CNCCOCC(C)C,42.128
COCCCCC(O)C=O,42.131
CCCOOC(C)C1CO1,42.131
CCCCCC1COC1O,42.133
CC1COC(C)C1CCO,42.134
CCC1COCCCC1C,42.135
CC(C=O)CC(N)CC=O,42.135
CCC(C)OOC(O)C=O,42.136
CCC(C)CC1CC1C,42.136
CCCCCC#CN1CC1,42.137
COCC1CC(C)CC1O,42.143
CN(C)C(C=O)COCO,42.144
CCOC(=O)CCCOC,42.145
CCOC(O)CC(C)C,42.146
CCOC(O)CC(C)C,42.146
CCCCN(CC)CO,42.146
CCCCCC1CCOC1,42.147
CC(C)CCC1NC1C=O,42.148
C=CN(N)C(CC)CC,42.15
CCOOCC1OC1CC,42.15
CN1CCCC1CCCO,42.151
CN(N)NC1CCCN1C,42.154
CN(N)NC1CCCN1C,42.154
CC1CCCCN1N(C)N,42.155
C#CCNC(C#C)CNN,42.158
COCC1(C)CCOC1C,42.158
CCCCNCN(C)N,42.161
CCC(C)(F)C(C)CO,42.163
CC1CCC(N)NNC1N,42.163
CCCCCOCC1CO1,42.163
CC1COCCC(N)C1C,42.164
CCCCC1NCCC1O,42.164
CCC1COCCC(C)C1,42.165
COCC1CCC(C)CC1,42.168
COCC(C)C(C)CO,42.171
COCCOOCC(C)F,42.178
C#CCC(CC)CCC,42.178
CC(C=O)CC(C=O)CN,42.181
C#CCC(O)OCCOC,42.184
C#CCCC(C)CCC,42.187
CCOOCC1CC1OC,42.188
CCCOCC(C)NC,42.189
CCCC(F)CC(C)C,42.19
CCC(C)CC(C)C=N,42.193
OCCCC1OC1CCO,42.193
CCCC(=N)CC(C)C,42.201
C=CC(CCO)C(C)C,42.203
COCCC1CC(CO)C1,42.207
CC(C)CC1COCC1O,42.21
CC(C)CC1CCC1C=O,42.213
C#CCC1CC1CNNC,42.214
CN(C)C(CN)CCO,42.216
CCC(C)CC1OCC1O,42.217
CCC(C)CC1NC1C=O,42.218
CC#CCC(C)CCC,42.219
C#CC(N)C1NCC1CC,42.22
CCCC1COCCC1C,42.222
CN(CNCN=O)NCN,42.224
CCC(C)OC(C)OC,42.225
CCCN(C)CN(C)O,42.225
CCCC(CC)C(C)F,42.227
CCCCCC(=O)COC,42.233
CCC(C)CCC(C)F,42.234
CCC(C)CCC(C)F,42.234
CC(CN)N(C)CCO,42.235
CC(CN)N(C)CCO,42.235
CCC(C)C(C)(F)CO,42.236
C#CCOC(CC)C1CC1,42.237
CNCNC(C)CNC,42.238
CCCCOC1COC1C,42.242
COCCCC1CNC1N,42.242
CCNCC1OC(C)N1N,42.243
CCC(C)(CO)COO,42.244
CCC(C)(CO)COO,42.244
CCC(NNN)N(C)C,42.245
CCCC1CNCC1CO,42.246
C#CC(CCCO)OOO,42.247
CC1CN(C)CCOC1C,42.255
CNC(CO)COCC=O,42.257
COC(C)CC(C)CO,42.257
CCN(C)CCCCO,42.26
CC1C(C)C2CCC1C2C,42.26
CCCC1C(C)C1CC,42.26
CCC1CCCC(OC)C1,42.262
CCC12CC1C2CCOC,42.263
CCCCCCC#CC=O,42.265
CCCC1CCOCC1C,42.267
CCCC(C)CNCO,42.268
CCC1COCC1(C)OC,42.269
CCC(CO)OOCC=O,42.273
CCOCC1CCC1CO,42.273
CC(C)(CCO)COO,42.274
CCCCC(O)C1COC1,42.274
COCC1CCCC(C)C1,42.275
CCCC1CC(C=O)C1C,42.282
CCCC1COCC(C)C1,42.283
CCC(O)C1OCCC1C,42.284
COCC(CO)COOO,42.287
C#CCC(C)COC1CC1,42.287
CCOCC1NC1CCO,42.288
CC(N)NCCN(C)N,42.29
CCCC1CC(C)C(O)O1,42.29
CCCCC1OCC1CO,42.292
CCCC1C(C)CC1C=O,42.294
C#CC(CC)COCC=N,42.296
CCC1OCC(O)C1CC,42.299
C#CC(CC#N)CCCC,42.302
CC1CCC1COCCO,42.303
CN(C)N1CCCCCC1,42.303
COCC1CCC(C)(C)O1,42.309
CCCC(C)C1NC1C=O,42.317
CCC(C)OCCNC,42.32
C#CC#CCCCCCO,42.321
CC1CC(CCC=O)C1C,42.323
CNC(O)NCC(C)C,42.327
CCC1CC(CO)C(C)O1,42.328
CCCC1OC(O)CC1C,42.329
CNC(CCO)N(C)C,42.33
CNC(CCO)N(C)C,42.33
CCC1CC(C)CCCO1,42.33
CC(C)CC1CC(O)CO1,42.334
COCCCNCN=NN,42.335
CCOCC(C)CCC=O,42.336
CN1CC1COCCCO,42.341
C#CCCCCC1CC1O,42.344
CCCNCC(O)C1CO1,42.347
CCNNC(C)CNC,42.347
CCCCC(=O)COCC,42.351
CCC1CCC2CC12CC,42.354
CCC1CC2(CC)CCC12,42.355
CCCC1C=CC(C)CC1,42.355
CCC1CCCOCC1C,42.358
CC1CCCC(C)COC1,42.36
C#CC1C(N)N1CNCC,42.36
CCCCC(O)C1CCO1,42.362
CC(C)NCC1CC1C=O,42.363
C#CC(C)CNCCC=O,42.364
COC(C)(C)N(C)CO,42.365
CC(CN)CCC=CN,42.371
CC(C)COCC=CC=O,42.371
CCC1CC(O)C(CC)O1,42.372
CCCC(C)N1CCCO1,42.374
CCC(C)C1OCCC1O,42.375
CC(C)COCN(C)C,42.376
O=CCC=CCCCCO,42.377
CCCC1C(C)CC12CC2,42.379
CN=CNN=NC(N)CN,42.382
C#CC(=C)CCC1CC1C,42.384
COCCCC1(C)CCO1,42.386
